Months,Years,Area,Flood,,,,,,,,,,,,,
Janruary,2000,Balochistan,,,,,,,,,,,,,,
February,2000,Balochistan,,,,,,,,,,,,,,
March,2000,Balochistan,,,,,,,,,,,,,,
April,2000,Balochistan,,,,,,,,,,,,,, 
May,2000,Balochistan,,,,,,,,,,,,,,
June,2000,Balochistan,,,,,,,,,,,,,,
July,2000,Balochistan,,,,,,,,,,,,,,
August,2000,Balochistan,,,,,,,,,,,,,,
September,2000,Balochistan,,,,,,,,,,,,,,
October,2000,Balochistan,,,,,,,,,,,,,,
November,2000,Balochistan,,,,,,,,,,,,,,
December,2000,Balochistan,,,,,,,,,,,,,,
Janruary,2001,Balochistan,,,,,,,,,,,,,,
February,2001,Balochistan,,,,,,,,,,,,,,
March,2001,Balochistan,,,,,,,,,,,,,,
April,2001,Balochistan,,,,,,,,,,,,,,
May,2001,Balochistan,,,,,,,,,,,,,,
June,2001,Balochistan,,,,,,,,,,,,,,
July,2001,Balochistan,,,,,,,,,,,,,,
August,2001,Balochistan,,,,,,,,,,,,,,
September,2001,Balochistan,,,,,,,,,,,,,,
October,2001,Balochistan,,,,,,,,,,,,,,
November,2001,Balochistan,,,,,,,,,,,,,,
December,2001,Balochistan,,,,,,,,,,,,,,
Janruary,2002,Balochistan,,,,,,,,,,,,,,
February,2002,Balochistan,,,,,,,,,,,,,,
March,2002,Balochistan,,,,,,,,,,,,,,
April,2002,Balochistan,,,,,,,,,,,,,,
May,2002,Balochistan,,,,,,,,,,,,,,
June,2002,Balochistan,,,,,,,,,,,,,,
July,2002,Balochistan,,,,,,,,,,,,,,
August,2002,Balochistan,,,,,,,,,,,,,,
September,2002,Balochistan,,,,,,,,,,,,,,
October,2002,Balochistan,,,,,,,,,,,,,,
November,2002,Balochistan,,,,,,,,,,,,,,
December,2002,Balochistan,,,,,,,,,,,,,,
Janruary,2003,Balochistan,,,,,,,,,,,,,,
February,2003,Balochistan,,,,,,,,,,,,,,
March,2003,Balochistan,,,,,,,,,,,,,,
April,2003,Balochistan,,,,,,,,,,,,,,
May,2003,Balochistan,,,,,,,,,,,,,,
June,2003,Balochistan,,,,,,,,,,,,,,
July,2003,Balochistan,Yes,,,,,,,,,,,,,
August,2003,Balochistan,,,,,,,,,,,,,,
September,2003,Balochistan,,,,,,,,,,,,,,
October,2003,Balochistan,,,,,,,,,,,,,,
