system:time_start,NDSI
"Jan 1, 2011",-0.32
"Jan 2, 2011",-0.322
"Jan 3, 2011",-0.305
"Jan 4, 2011",-0.286
"Jan 5, 2011",-0.302
"Jan 6, 2011",-0.289
"Jan 7, 2011",-0.312
"Jan 8, 2011",-0.296
"Jan 9, 2011",-0.317
"Jan 10, 2011",-0.288
"Jan 11, 2011",-0.284
"Jan 12, 2011",-0.299
"Jan 13, 2011",-0.308
"Jan 14, 2011",-0.311
"Jan 15, 2011",-0.32
"Jan 16, 2011",-0.182
"Jan 17, 2011",-0.161
"Jan 18, 2011",-0.271
"Jan 19, 2011",0.065
"Jan 20, 2011",-0.05
"Jan 21, 2011",-0.063
"Jan 22, 2011",-0.148
"Jan 23, 2011",-0.3
"Jan 24, 2011",-0.327
"Jan 25, 2011",-0.326
"Jan 26, 2011",-0.333
"Jan 27, 2011",-0.324
"Jan 28, 2011",-0.321
"Jan 29, 2011",-0.075
"Jan 30, 2011",-0.273
"Jan 31, 2011",-0.252
"Feb 1, 2011",-0.288
"Feb 2, 2011",-0.096
"Feb 3, 2011",-0.097
"Feb 4, 2011",-0.141
"Feb 5, 2011",-0.245
"Feb 6, 2011",-0.178
"Feb 7, 2011",-0.3
"Feb 8, 2011",-0.315
"Feb 9, 2011",-0.061
"Feb 10, 2011",-0.006
"Feb 11, 2011",0.016
"Feb 12, 2011",0.244
"Feb 13, 2011",-0.151
"Feb 14, 2011",-0.305
"Feb 15, 2011",-0.232
"Feb 16, 2011",-0.297
"Feb 17, 2011",-0.293
"Feb 18, 2011",0.006
"Feb 19, 2011",-0.181
"Feb 20, 2011",-0.285
"Feb 21, 2011",-0.273
"Feb 22, 2011",-0.172
"Feb 23, 2011",-0.272
"Feb 24, 2011",-0.287
"Feb 25, 2011",0.047
"Feb 26, 2011",-0.277
"Feb 27, 2011",0.006
"Feb 28, 2011",0.107
"Mar 1, 2011",0.202
"Mar 2, 2011",0.201
"Mar 3, 2011",0.16
"Mar 4, 2011",-0.19
"Mar 5, 2011",-0.2
"Mar 6, 2011",-0.141
"Mar 7, 2011",-0.21
"Mar 8, 2011",-0.313
"Mar 9, 2011",-0.316
"Mar 10, 2011",-0.325
"Mar 11, 2011",-0.312
"Mar 12, 2011",-0.315
"Mar 13, 2011",-0.319
"Mar 14, 2011",-0.317
"Mar 15, 2011",-0.319
"Mar 16, 2011",-0.27
"Mar 17, 2011",-0.169
"Mar 18, 2011",-0.084
"Mar 19, 2011",-0.245
"Mar 20, 2011",-0.162
"Mar 21, 2011",-0.313
"Mar 22, 2011",-0.316
"Mar 23, 2011",-0.316
"Mar 24, 2011",-0.317
"Mar 25, 2011",-0.308
"Mar 26, 2011",-0.309
"Mar 27, 2011",-0.241
"Mar 28, 2011",-0.307
"Mar 29, 2011",-0.298
"Mar 30, 2011",-0.31
"Mar 31, 2011",-0.253
"Apr 1, 2011",-0.312
"Apr 2, 2011",-0.323
"Apr 3, 2011",-0.317
"Apr 4, 2011",-0.301
"Apr 5, 2011",-0.294
"Apr 6, 2011",-0.161
"Apr 7, 2011",-0.12
"Apr 8, 2011",-0.19
"Apr 9, 2011",-0.085
"Apr 10, 2011",0.001
