system:time_start,LST_Day_1km
"Jan 1, 2011",24.214
"Jan 2, 2011",23.93
"Jan 3, 2011",23.711
"Jan 4, 2011",22.786
"Jan 5, 2011",23.92
"Jan 6, 2011",23.172
"Jan 7, 2011",24.247
"Jan 8, 2011",23.241
"Jan 9, 2011",23.397
"Jan 10, 2011",25.224
"Jan 11, 2011",23.749
"Jan 12, 2011",24.431
"Jan 13, 2011",22.939
"Jan 14, 2011",18.393
"Jan 15, 2011",22.24
"Jan 16, 2011",22.817
"Jan 17, 2011",25.372
"Jan 18, 2011",21.048
"Jan 19, 2011",20.518
"Jan 20, 2011",23.32
"Jan 21, 2011",17.419
"Jan 22, 2011",19.145
"Jan 23, 2011",23.505
"Jan 24, 2011",26.194
"Jan 25, 2011",24.552
"Jan 26, 2011",25.247
"Jan 27, 2011",25.653
"Jan 28, 2011",27.966
"Jan 29, 2011",27.999
"Jan 30, 2011",23.783
"Jan 31, 2011",23.669
"Feb 1, 2011",27.239
"Feb 2, 2011",27.342
"Feb 3, 2011",27.919
"Feb 4, 2011",27.779
"Feb 5, 2011",25.533
"Feb 6, 2011",27.454
"Feb 7, 2011",24.188
"Feb 8, 2011",26.402
"Feb 9, 2011",22.566
"Feb 10, 2011",26.573
"Feb 11, 2011",26.846
"Feb 12, 2011",27.466
"Feb 13, 2011",21.179
"Feb 14, 2011",21.603
"Feb 15, 2011",23.492
"Feb 16, 2011",25.384
"Feb 17, 2011",25.375
"Feb 18, 2011",24.987
"Feb 19, 2011",23.684
"Feb 20, 2011",24.155
"Feb 21, 2011",25.267
"Feb 22, 2011",27.294
"Feb 23, 2011",25.971
"Feb 24, 2011",28.561
"Feb 25, 2011",28.809
"Feb 26, 2011",24.072
"Feb 27, 2011",27.547
"Feb 28, 2011",29.914
"Mar 1, 2011",15.361
"Mar 2, 2011",12.869
"Mar 3, 2011",23.823
"Mar 4, 2011",22.545
"Mar 5, 2011",25.447
"Mar 6, 2011",27.079
"Mar 7, 2011",26.643
"Mar 8, 2011",27.863
"Mar 9, 2011",31.073
"Mar 10, 2011",33.3
"Mar 11, 2011",33.667
"Mar 12, 2011",36.716
"Mar 13, 2011",38.094
"Mar 14, 2011",40.571
"Mar 15, 2011",41.103
"Mar 16, 2011",37.979
"Mar 17, 2011",35.985
"Mar 18, 2011",33.762
"Mar 19, 2011",32.193
"Mar 20, 2011",34.433
"Mar 21, 2011",38.464
"Mar 22, 2011",38.05
"Mar 23, 2011",40.737
"Mar 24, 2011",40.096
"Mar 25, 2011",39.729
"Mar 26, 2011",40.93
"Mar 27, 2011",38.748
"Mar 28, 2011",37.746
"Mar 29, 2011",37.192
"Mar 30, 2011",40.523
"Mar 31, 2011",37.674
"Apr 1, 2011",38.073
"Apr 2, 2011",38.294
"Apr 3, 2011",38.466
"Apr 4, 2011",40.45
"Apr 5, 2011",37.417
"Apr 6, 2011",34.352
"Apr 7, 2011",32.884
"Apr 8, 2011",39.163
"Apr 9, 2011",38.246
"Apr 10, 2011",35.653
"Apr 11, 2011",36.629
"Apr 12, 2011",33.832
"Apr 13, 2011",36.998
"Apr 14, 2011",33.862
"Apr 15, 2011",41.869
"Apr 16, 2011",39.32
"Apr 17, 2011",38.101
"Apr 18, 2011",40.634
"Apr 19, 2011",40.032
"Apr 20, 2011",43.588
"Apr 21, 2011",44.549
"Apr 22, 2011",48.076
"Apr 23, 2011",47.419
"Apr 24, 2011",48.457
"Apr 25, 2011",45.203
"Apr 26, 2011",47.04
"Apr 27, 2011",43.568
"Apr 28, 2011",38.18
"Apr 29, 2011",43.94
"Apr 30, 2011",41.178
"May 1, 2011",46.328
"May 2, 2011",45.235
"May 3, 2011",47.602
"May 4, 2011",45.216
"May 5, 2011",43.686
"May 6, 2011",45.717
"May 7, 2011",46.478
"May 8, 2011",50.554
"May 9, 2011",43.781
"May 10, 2011",49.03
"May 11, 2011",45.112
"May 12, 2011",48.417
"May 13, 2011",49.705
"May 14, 2011",46.218
"May 15, 2011",50.634
"May 16, 2011",46.43
"May 17, 2011",50.899
"May 18, 2011",48.137
"May 19, 2011",50.385
"May 20, 2011",47.389
"May 21, 2011",50.531
"May 22, 2011",53.495
"May 23, 2011",49.051
"May 24, 2011",50.713
"May 25, 2011",47.987
"May 26, 2011",47.719
"May 27, 2011",45.727
