system:time_start,NDVI
"Jan 1, 2011",989.915
"Jan 17, 2011",998.396
"Feb 2, 2011","1,032.537"
"Feb 18, 2011",996.904
"Mar 6, 2011","1,037.175"
"Mar 22, 2011","1,063.257"
"Apr 7, 2011","1,106.718"
"Apr 23, 2011","1,100.151"
"May 9, 2011","1,042.016"
"May 25, 2011",983.927
"Jun 10, 2011",934.114
"Jun 26, 2011",887.729
"Jul 12, 2011",934.731
"Jul 28, 2011",982.05
"Aug 13, 2011","1,034.08"
"Aug 29, 2011","1,164.343"
"Sep 14, 2011","1,270.752"
"Sep 30, 2011","1,263.283"
"Oct 16, 2011","1,227.69"
"Nov 1, 2011","1,161.309"
"Nov 17, 2011","1,141.421"
"Dec 3, 2011","1,124.877"
"Dec 19, 2011","1,030.594"
"Jan 1, 2012","1,032.567"
"Jan 17, 2012","1,049.604"
"Feb 2, 2012","1,028.869"
"Feb 18, 2012","1,001.058"
"Mar 5, 2012",975.116
"Mar 21, 2012",948.016
"Apr 6, 2012",956.81
"Apr 22, 2012",963.452
"May 8, 2012",975.75
"May 24, 2012",941.051
"Jun 9, 2012",925.395
"Jun 25, 2012",898.888
"Jul 11, 2012",893.067
"Jul 27, 2012",917.685
"Aug 12, 2012",971.001
"Aug 28, 2012",999.201
"Sep 13, 2012","1,110.857"
"Sep 29, 2012","1,137.162"
"Oct 15, 2012","1,105.046"
"Oct 31, 2012","1,081.867"
"Nov 16, 2012","1,061.095"
"Dec 2, 2012","1,055.085"
"Dec 18, 2012","1,047.648"
"Jan 1, 2013",997.051
"Jan 17, 2013","1,003.288"
"Feb 2, 2013","1,016.203"
"Feb 18, 2013","1,026.181"
"Mar 6, 2013","1,054.413"
"Mar 22, 2013","1,122.338"
"Apr 7, 2013","1,100.932"
"Apr 23, 2013","1,128.811"
"May 9, 2013","1,067.332"
"May 25, 2013","1,008.18"
"Jun 10, 2013",954.598
"Jun 26, 2013",963.753
"Jul 12, 2013",943.545
"Jul 28, 2013",949.413
"Aug 13, 2013","1,140.679"
"Aug 29, 2013","1,147.587"
"Sep 14, 2013","1,099.499"
"Sep 30, 2013","1,076.585"
"Oct 16, 2013","1,061.126"
"Nov 1, 2013","1,057.257"
"Nov 17, 2013","1,052.821"
"Dec 3, 2013","1,019.697"
"Dec 19, 2013","1,028.345"
"Jan 1, 2014","1,026.753"
"Jan 17, 2014","1,026.139"
"Feb 2, 2014","1,057.373"
"Feb 18, 2014","1,037.06"
"Mar 6, 2014","1,034.824"
"Mar 22, 2014","1,070.533"
"Apr 7, 2014","1,057.697"
"Apr 23, 2014","1,060.902"
"May 9, 2014","1,048.536"
"May 25, 2014","1,001.168"
"Jun 10, 2014",943.308
"Jun 26, 2014",891.428
"Jul 12, 2014",888.491
"Jul 28, 2014",901.449
"Aug 13, 2014",929.495
"Aug 29, 2014",951.36
"Sep 14, 2014",963.393
"Sep 30, 2014",960.296
"Oct 16, 2014",965.56
"Nov 1, 2014",949.296
"Nov 17, 2014",941.751
"Dec 3, 2014",918.64
"Dec 19, 2014",927.36
"Jan 1, 2015",937.025
"Jan 17, 2015",979.876
"Feb 2, 2015",992.208
"Feb 18, 2015",999.479
"Mar 6, 2015",985.792
"Mar 22, 2015","1,005.935"
"Apr 7, 2015",987.975
"Apr 23, 2015",975.017
"May 9, 2015",968.756
"May 25, 2015",917.764
"Jun 10, 2015",893.801
"Jun 26, 2015",908.315
"Jul 12, 2015",911.435
"Jul 28, 2015","1,027.364"
"Aug 13, 2015","1,043.045"
"Aug 29, 2015","1,014.179"
"Sep 14, 2015","1,004.24"
"Sep 30, 2015",991.806
"Oct 16, 2015",980.877
"Nov 1, 2015",964.366
"Nov 17, 2015",952.61
"Dec 3, 2015",948.411
"Dec 19, 2015",938.59
"Jan 1, 2016",953.714
"Jan 17, 2016",959.403
"Feb 2, 2016",952.652
"Feb 18, 2016","1,024.211"
"Mar 5, 2016",989.454
"Mar 21, 2016",941.465
"Apr 6, 2016",986.601
"Apr 22, 2016","1,000.512"
"May 8, 2016",937.223
"May 24, 2016",892.575
"Jun 9, 2016",858.974
"Jun 25, 2016",880.934
"Jul 11, 2016",902.677
"Jul 27, 2016",920.365
"Aug 12, 2016",996.147
"Aug 28, 2016","1,033.199"
"Sep 13, 2016","1,019.655"
"Sep 29, 2016",992.159
"Oct 15, 2016",981.29
"Oct 31, 2016",963.655
"Nov 16, 2016",952.551
"Dec 2, 2016",968.318
"Dec 18, 2016",957.315
"Jan 1, 2017",995.167
"Jan 17, 2017","1,013.277"
"Feb 2, 2017","1,041.121"
"Feb 18, 2017","1,039.769"
"Mar 6, 2017","1,032.363"
"Mar 22, 2017","1,024.293"
"Apr 7, 2017","1,021.721"
"Apr 23, 2017",989.991
"May 9, 2017",943.187
"May 25, 2017",920.265
"Jun 10, 2017",902.177
"Jun 26, 2017",896.023
"Jul 12, 2017",954.236
"Jul 28, 2017",960.116
"Aug 13, 2017",980.067
"Aug 29, 2017","1,011.76"
"Sep 14, 2017","1,020.536"
"Sep 30, 2017",977.541
"Oct 16, 2017",967.078
"Nov 1, 2017",945.327
"Nov 17, 2017",960.174
"Dec 3, 2017",952.034
"Dec 19, 2017",989.551
"Jan 1, 2018",979.931
"Jan 17, 2018",958.763
"Feb 2, 2018",974.677
"Feb 18, 2018",978.485
"Mar 6, 2018",980.5
"Mar 22, 2018",958.345
"Apr 7, 2018",937.331
"Apr 23, 2018",896.015
"May 9, 2018",891.408
"May 25, 2018",850.747
"Jun 10, 2018",815.707
"Jun 26, 2018",835.89
"Jul 12, 2018",797.818
"Jul 28, 2018",869.37
"Aug 13, 2018",868.738
"Aug 29, 2018",904.854
"Sep 14, 2018",908.169
"Sep 30, 2018",925.866
"Oct 16, 2018",901.855
"Nov 1, 2018",886.367
"Nov 17, 2018",893.597
"Dec 3, 2018",913.891
"Dec 19, 2018",908.395
"Jan 1, 2019",908.896
"Jan 17, 2019",934.957
"Feb 2, 2019",953.739
"Feb 18, 2019",927.213
"Mar 6, 2019",930.497
"Mar 22, 2019",968.015
"Apr 7, 2019","1,030.518"
"Apr 23, 2019","1,051.616"
"May 9, 2019","1,051.101"
"May 25, 2019","1,024.124"
"Jun 10, 2019",966.322
"Jun 26, 2019",960.413
"Jul 12, 2019",920.406
"Jul 28, 2019","1,001.745"
"Aug 13, 2019","1,091.16"
"Aug 29, 2019","1,126.005"
"Sep 14, 2019","1,106.364"
"Sep 30, 2019","1,116.186"
"Oct 16, 2019","1,102.566"
"Nov 1, 2019","1,095.888"
"Nov 17, 2019","1,107.914"
"Dec 3, 2019","1,077.44"
"Dec 19, 2019","1,105.601"
"Jan 1, 2020","1,072.46"
"Jan 17, 2020","1,041.649"
"Feb 2, 2020","1,107.198"
"Feb 18, 2020","1,113.247"
"Mar 5, 2020","1,165.424"
"Mar 21, 2020","1,198.148"
"Apr 6, 2020","1,203.335"
"Apr 22, 2020","1,195.576"
"May 8, 2020","1,135.606"
"May 24, 2020","1,073.75"
"Jun 9, 2020","1,050.463"
"Jun 25, 2020",999.351
"Jul 11, 2020","1,012.27"
"Jul 27, 2020","1,062.882"
"Aug 12, 2020","1,127.821"
"Aug 28, 2020","1,278.94"
"Sep 13, 2020","1,332.364"
"Sep 29, 2020","1,260.773"
"Oct 15, 2020","1,209.717"
"Oct 31, 2020","1,163.534"
"Nov 16, 2020","1,179.093"
"Dec 2, 2020","1,164.828"
"Dec 18, 2020","1,160.031"
"Jan 1, 2021","1,153.233"
"Jan 17, 2021","1,109.828"
"Feb 2, 2021","1,098.396"
"Feb 18, 2021","1,091.223"
"Mar 6, 2021","1,039.538"
"Mar 22, 2021","1,018.381"
"Apr 7, 2021","1,017.999"
"Apr 23, 2021","1,004.756"
"May 9, 2021",987.268
"May 25, 2021",960.061
"Jun 10, 2021",936.184
"Jun 26, 2021",941.475
"Jul 12, 2021","1,000.141"
"Jul 28, 2021","1,026.503"
"Aug 13, 2021","1,058.462"
"Aug 29, 2021","1,056.813"
"Sep 14, 2021","1,068.643"
"Sep 30, 2021","1,082.482"
"Oct 16, 2021","1,077.601"
"Nov 1, 2021","1,025.941"
"Nov 17, 2021","1,015.055"
"Dec 3, 2021","1,017.437"
"Dec 19, 2021","1,012.7"
