system:time_start,NDVI
"Feb 18, 2000",852.42
"Mar 5, 2000",834.894
"Mar 21, 2000",821.833
"Apr 6, 2000",819.19
"Apr 22, 2000",783.821
"May 8, 2000",785.232
"May 24, 2000",772.064
"Jun 9, 2000",751.1
"Jun 25, 2000",713.931
"Jul 11, 2000",755.18
"Jul 27, 2000",791.753
"Aug 12, 2000",814.945
"Aug 28, 2000",837.714
"Sep 13, 2000",847.127
"Sep 29, 2000",870.88
"Oct 15, 2000",870.73
"Oct 31, 2000",867.211
"Nov 16, 2000",850.58
"Dec 2, 2000",876.744
"Dec 18, 2000",904.451
"Jan 1, 2001",895.137
"Jan 17, 2001",887.971
"Feb 2, 2001",884.823
"Feb 18, 2001",881.641
"Mar 6, 2001",863.998
"Mar 22, 2001",856.68
"Apr 7, 2001",839.077
"Apr 23, 2001",813.711
"May 9, 2001",794.25
"May 25, 2001",768.687
"Jun 10, 2001",750.422
"Jun 26, 2001",693.424
"Jul 12, 2001",753.772
"Jul 28, 2001",852.915
"Aug 13, 2001",908.344
"Aug 29, 2001",897.911
"Sep 14, 2001",916.53
"Sep 30, 2001",903.112
"Oct 16, 2001",886.348
"Nov 1, 2001",867.403
"Nov 17, 2001",844.874
"Dec 3, 2001",844.919
"Dec 19, 2001",872.494
"Jan 1, 2002",900.933
"Jan 17, 2002",900.755
"Feb 2, 2002",871.16
"Feb 18, 2002",907.097
"Mar 6, 2002",896.549
"Mar 22, 2002",868.381
"Apr 7, 2002",836.82
"Apr 23, 2002",831.693
"May 9, 2002",809.904
"May 25, 2002",784.461
"Jun 10, 2002",769.289
"Jun 26, 2002",775.181
"Jul 12, 2002",767.063
"Jul 28, 2002",778.267
"Aug 13, 2002",785.787
"Aug 29, 2002",846.681
"Sep 14, 2002",854.487
"Sep 30, 2002",882.299
"Oct 16, 2002",854.981
"Nov 1, 2002",870.148
"Nov 17, 2002",885.637
"Dec 3, 2002",852.099
"Dec 19, 2002",864.885
"Jan 1, 2003",866.294
"Jan 17, 2003",904.017
"Feb 2, 2003",888.073
"Feb 18, 2003",864.988
"Mar 6, 2003",881.333
"Mar 22, 2003",864.261
"Apr 7, 2003",887.121
"Apr 23, 2003",883.478
"May 9, 2003",835.281
"May 25, 2003",797.398
"Jun 10, 2003",806.36
"Jun 26, 2003",752.089
"Jul 12, 2003",795.948
"Jul 28, 2003",896.443
"Aug 13, 2003",967.275
"Aug 29, 2003","1,034.508"
"Sep 14, 2003","1,029.829"
"Sep 30, 2003","1,007.815"
"Oct 16, 2003",994.413
"Nov 1, 2003",967.399
"Nov 17, 2003",949.518
"Dec 3, 2003",921.105
"Dec 19, 2003",914.519
"Jan 1, 2004",941.382
"Jan 17, 2004",977.02
"Feb 2, 2004",954.269
"Feb 18, 2004",929.984
"Mar 5, 2004",953.948
"Mar 21, 2004",930.07
"Apr 6, 2004",886.332
"Apr 22, 2004",849.693
"May 8, 2004",824.35
"May 24, 2004",799.625
"Jun 9, 2004",793.715
"Jun 25, 2004",792.083
"Jul 11, 2004",797.587
"Jul 27, 2004",791.91
"Aug 12, 2004",841.321
"Aug 28, 2004",854.03
"Sep 13, 2004",875.833
"Sep 29, 2004",907.027
"Oct 15, 2004",861.039
"Oct 31, 2004",876.224
"Nov 16, 2004",859.832
"Dec 2, 2004",862.942
"Dec 18, 2004",889.914
"Jan 1, 2005",880.457
"Jan 17, 2005",890.08
"Feb 2, 2005",848.515
"Feb 18, 2005",859.28
"Mar 6, 2005",914.261
"Mar 22, 2005","1,004.333"
"Apr 7, 2005","1,028.158"
"Apr 23, 2005","1,028.116"
"May 9, 2005","1,023.605"
"May 25, 2005","1,010.685"
"Jun 10, 2005",969.264
"Jun 26, 2005",929.167
"Jul 12, 2005",934.902
"Jul 28, 2005",969.805
"Aug 13, 2005",998.427
"Aug 29, 2005",983.602
"Sep 14, 2005","1,012.213"
"Sep 30, 2005","1,009.595"
"Oct 16, 2005","1,000.654"
"Nov 1, 2005",956.298
"Nov 17, 2005",960.534
"Dec 3, 2005",946.37
"Dec 19, 2005",967.049
"Jan 1, 2006",961.048
"Jan 17, 2006",948.902
"Feb 2, 2006",957.84
"Feb 18, 2006",969.29
"Mar 6, 2006",964.609
"Mar 22, 2006",950.022
"Apr 7, 2006",938.207
"Apr 23, 2006",895.23
"May 9, 2006",859.329
"May 25, 2006",849.554
"Jun 10, 2006",832.109
"Jun 26, 2006",816.747
"Jul 12, 2006",834.31
"Jul 28, 2006",909.465
"Aug 13, 2006","1,015.646"
"Aug 29, 2006","1,074.448"
"Sep 14, 2006","1,061.85"
"Sep 30, 2006","1,031.155"
"Oct 16, 2006",989.683
"Nov 1, 2006",991.9
"Nov 17, 2006","1,002.458"
"Dec 3, 2006","1,021.332"
"Dec 19, 2006",984.932
"Jan 1, 2007",992.998
"Jan 17, 2007","1,009.766"
"Feb 2, 2007","1,061.667"
"Feb 18, 2007","1,099.258"
"Mar 6, 2007","1,134.892"
"Mar 22, 2007","1,204.955"
"Apr 7, 2007","1,186.791"
"Apr 23, 2007","1,095.631"
"May 9, 2007","1,014.751"
"May 25, 2007",985.883
"Jun 10, 2007",958.44
"Jun 26, 2007",970.231
"Jul 12, 2007","1,068.383"
"Jul 28, 2007","1,175.782"
"Aug 13, 2007","1,206.259"
"Aug 29, 2007","1,233.16"
"Sep 14, 2007","1,207.761"
"Sep 30, 2007","1,165.986"
"Oct 16, 2007","1,123.405"
"Nov 1, 2007","1,099.359"
"Nov 17, 2007","1,076.176"
"Dec 3, 2007","1,065.095"
"Dec 19, 2007","1,068.394"
"Jan 1, 2008","1,059.242"
"Jan 17, 2008","1,065.512"
"Feb 2, 2008",983.675
"Feb 18, 2008","1,017.963"
"Mar 5, 2008","1,019.442"
"Mar 21, 2008",986.995
"Apr 6, 2008","1,001.002"
"Apr 22, 2008",998.817
"May 8, 2008",931.462
"May 24, 2008",898.574
"Jun 9, 2008",869.237
"Jun 25, 2008",871.85
"Jul 11, 2008",911.9
"Jul 27, 2008",960.665
"Aug 12, 2008","1,136.401"
"Aug 28, 2008","1,108.498"
"Sep 13, 2008","1,075.338"
"Sep 29, 2008","1,049.48"
"Oct 15, 2008","1,006.167"
"Oct 31, 2008",995.986
"Nov 16, 2008",981.119
"Dec 2, 2008",984.361
"Dec 18, 2008","1,018.14"
"Jan 1, 2009","1,024.987"
"Jan 17, 2009","1,048.876"
"Feb 2, 2009","1,052.556"
"Feb 18, 2009","1,048.142"
"Mar 6, 2009","1,109.099"
"Mar 22, 2009","1,143.274"
"Apr 7, 2009","1,115.416"
"Apr 23, 2009","1,082.303"
"May 9, 2009","1,006.614"
"May 25, 2009",969.904
"Jun 10, 2009",938.01
"Jun 26, 2009",914.56
"Jul 12, 2009",911.484
"Jul 28, 2009",959.595
"Aug 13, 2009",961.77
"Aug 29, 2009","1,016.737"
"Sep 14, 2009",994.386
"Sep 30, 2009",984.819
"Oct 16, 2009",973.962
"Nov 1, 2009",962.589
"Nov 17, 2009",936.347
"Dec 3, 2009",963.422
"Dec 19, 2009",994.415
"Jan 1, 2010","1,018.224"
"Jan 17, 2010",999.514
"Feb 2, 2010",987.156
"Feb 18, 2010","1,000.9"
"Mar 6, 2010",964.866
"Mar 22, 2010",975.465
"Apr 7, 2010",937.553
"Apr 23, 2010",903.001
"May 9, 2010",897.03
"May 25, 2010",878.123
"Jun 10, 2010",885.993
"Jun 26, 2010",887.926
"Jul 12, 2010",895.111
"Jul 28, 2010","1,003.255"
"Aug 13, 2010","1,194.033"
"Aug 29, 2010","1,204.798"
"Sep 14, 2010","1,139.279"
"Sep 30, 2010","1,100.738"
"Oct 16, 2010","1,063.744"
"Nov 1, 2010","1,056.74"
"Nov 17, 2010","1,050.217"
"Dec 3, 2010","1,003.655"
"Dec 19, 2010",982.956
