system:time_start,NDSI
"Jan 1, 2011",-0.371
"Jan 2, 2011",-0.385
"Jan 3, 2011",-0.079
"Jan 4, 2011",-0.03
"Jan 5, 2011",-0.23
"Jan 6, 2011",-0.018
"Jan 7, 2011",0.349
"Jan 8, 2011",0.092
"Jan 9, 2011",-0.401
"Jan 10, 2011",-0.409
"Jan 11, 2011",-0.414
"Jan 12, 2011",-0.345
"Jan 13, 2011",-0.086
"Jan 14, 2011",0.206
"Jan 15, 2011",-0.37
"Jan 16, 2011",-0.213
"Jan 17, 2011",0.204
"Jan 18, 2011",-0.416
"Jan 19, 2011",-0.341
"Jan 20, 2011",0.339
"Jan 21, 2011",-0.328
"Jan 22, 2011",-0.421
"Jan 23, 2011",-0.392
"Jan 24, 2011",-0.425
"Jan 25, 2011",-0.405
"Jan 26, 2011",-0.413
"Jan 27, 2011",-0.419
"Jan 28, 2011",0.206
"Jan 29, 2011",0.391
"Jan 30, 2011",-0.308
"Jan 31, 2011",-0.424
"Feb 1, 2011",-0.155
"Feb 2, 2011",0.106
"Feb 3, 2011",0.508
"Feb 4, 2011",0.418
"Feb 5, 2011",0.211
"Feb 6, 2011",0.328
"Feb 7, 2011",0.039
"Feb 8, 2011",-0.376
"Feb 9, 2011",-0.411
"Feb 10, 2011",-0.087
"Feb 11, 2011",0.299
"Feb 12, 2011",0.538
"Feb 13, 2011",0.311
"Feb 14, 2011",0.036
"Feb 15, 2011",-0.357
"Feb 16, 2011",0.457
"Feb 17, 2011",-0.356
"Feb 18, 2011",-0.083
"Feb 19, 2011",-0.127
"Feb 20, 2011",0.39
"Feb 21, 2011",-0.264
"Feb 22, 2011",0.35
"Feb 23, 2011",0.132
"Feb 24, 2011",0.078
"Feb 25, 2011",0.367
"Feb 26, 2011",-0.224
"Feb 27, 2011",-0.418
"Feb 28, 2011",0.433
"Mar 1, 2011",-0.318
"Mar 2, 2011",0.53
"Mar 3, 2011",0.042
"Mar 4, 2011",-0.286
"Mar 5, 2011",-0.372
"Mar 6, 2011",-0.41
"Mar 7, 2011",-0.071
"Mar 8, 2011",-0.402
"Mar 9, 2011",-0.418
"Mar 10, 2011",-0.361
"Mar 11, 2011",-0.414
"Mar 12, 2011",-0.4
"Mar 13, 2011",-0.411
"Mar 14, 2011",-0.415
"Mar 15, 2011",-0.368
"Mar 16, 2011",-0.043
"Mar 17, 2011",0.103
"Mar 18, 2011",-0.404
"Mar 19, 2011",0.487
"Mar 20, 2011",-0.375
"Mar 21, 2011",-0.172
"Mar 22, 2011",-0.393
"Mar 23, 2011",-0.408
"Mar 24, 2011",-0.391
"Mar 25, 2011",-0.411
"Mar 26, 2011",-0.318
"Mar 27, 2011",-0.22
"Mar 28, 2011",0.544
"Mar 29, 2011",-0.219
"Mar 30, 2011",-0.387
"Mar 31, 2011",-0.381
"Apr 1, 2011",-0.394
"Apr 2, 2011",0.186
"Apr 3, 2011",-0.408
"Apr 4, 2011",0.338
"Apr 5, 2011",-0.337
"Apr 6, 2011",0.42
"Apr 7, 2011",-0.394
"Apr 8, 2011",-0.385
"Apr 9, 2011",0.273
"Apr 10, 2011",0.428
"Apr 11, 2011",0.384
"Apr 12, 2011",-0.39
"Apr 13, 2011",-0.37
"Apr 14, 2011",-0.396
"Apr 15, 2011",0.277
"Apr 16, 2011",0.011
"Apr 17, 2011",0.539
"Apr 18, 2011",-0.347
"Apr 19, 2011",-0.402
"Apr 20, 2011",-0.382
"Apr 21, 2011",-0.394
"Apr 22, 2011",-0.398
"Apr 23, 2011",-0.394
"Apr 24, 2011",-0.412
"Apr 25, 2011",-0.395
"Apr 26, 2011",-0.415
"Apr 27, 2011",-0.334
"Apr 28, 2011",-0.372
"Apr 29, 2011",-0.168
"Apr 30, 2011",-0.141
"May 1, 2011",-0.397
"May 2, 2011",-0.398
"May 3, 2011",-0.408
"May 4, 2011",-0.347
"May 5, 2011",0.019
"May 6, 2011",0.152
"May 7, 2011",-0.401
"May 8, 2011",-0.408
"May 9, 2011",-0.393
"May 10, 2011",-0.404
"May 11, 2011",-0.272
"May 12, 2011",-0.386
"May 13, 2011",-0.378
"May 14, 2011",-0.401
"May 15, 2011",-0.4
"May 16, 2011",-0.401
"May 17, 2011",-0.37
"May 18, 2011",-0.362
"May 19, 2011",-0.404
"May 20, 2011",-0.283
"May 21, 2011",0.312
"May 22, 2011",-0.366
"May 23, 2011",-0.368
"May 24, 2011",-0.35
"May 25, 2011",-0.319
"May 26, 2011",-0.142
"May 27, 2011",-0.329
"May 28, 2011",-0.386
"May 29, 2011",-0.345
"May 30, 2011",-0.384
"May 31, 2011",-0.358
"Jun 1, 2011",-0.351
"Jun 2, 2011",-0.375
"Jun 3, 2011",-0.376
"Jun 4, 2011",-0.394
"Jun 5, 2011",-0.317
"Jun 6, 2011",-0.371
"Jun 7, 2011",-0.35
"Jun 8, 2011",-0.379
"Jun 9, 2011",-0.361
"Jun 10, 2011",-0.35
"Jun 11, 2011",-0.362
"Jun 12, 2011",-0.343
"Jun 13, 2011",-0.371
"Jun 14, 2011",-0.351
"Jun 15, 2011",-0.388
"Jun 16, 2011",-0.277
"Jun 17, 2011",-0.335
"Jun 18, 2011",-0.356
"Jun 19, 2011",0.331
"Jun 20, 2011",-0.378
"Jun 21, 2011",-0.315
"Jun 22, 2011",-0.344
"Jun 23, 2011",-0.3
"Jun 24, 2011",-0.388
"Jun 25, 2011",-0.304
"Jun 26, 2011",-0.043
"Jun 27, 2011",-0.192
"Jun 28, 2011",0.006
"Jun 29, 2011",-0.316
"Jun 30, 2011",-0.279
"Jul 1, 2011",-0.304
"Jul 2, 2011",-0.211
"Jul 3, 2011",0.422
"Jul 4, 2011",-0.372
"Jul 5, 2011",-0.387
"Jul 6, 2011",-0.282
"Jul 7, 2011",0.003
"Jul 8, 2011",0.657
"Jul 9, 2011",-0.214
"Jul 10, 2011",-0.212
"Jul 11, 2011",-0.31
"Jul 12, 2011",-0.368
"Jul 13, 2011",-0.25
"Jul 14, 2011",0.519
"Jul 15, 2011",-0.094
"Jul 16, 2011",-0.113
"Jul 17, 2011",-0.36
"Jul 18, 2011",-0.02
"Jul 19, 2011",-0.349
"Jul 20, 2011",-0.365
"Jul 21, 2011",-0.182
"Jul 22, 2011",-0.235
"Jul 23, 2011",-0.088
"Jul 24, 2011",0.055
"Jul 25, 2011",0.557
"Jul 26, 2011",0.591
"Jul 27, 2011",0.474
"Jul 28, 2011",-0.184
"Jul 29, 2011",-0.375
"Jul 30, 2011",-0.16
"Jul 31, 2011",-0.372
"Aug 1, 2011",-0.355
"Aug 2, 2011",-0.39
"Aug 3, 2011",-0.336
"Aug 4, 2011",-0.146
"Aug 5, 2011",0.034
"Aug 6, 2011",-0.133
"Aug 7, 2011",-0.392
"Aug 8, 2011",0.138
"Aug 9, 2011",-0.376
"Aug 10, 2011",-0.167
"Aug 11, 2011",0.042
"Aug 12, 2011",0.596
"Aug 13, 2011",-0.34
"Aug 14, 2011",-0.025
"Aug 15, 2011",0.236
"Aug 16, 2011",0.043
"Aug 17, 2011",-0.263
"Aug 18, 2011",-0.292
"Aug 19, 2011",-0.205
"Aug 20, 2011",-0.155
"Aug 21, 2011",-0.341
"Aug 22, 2011",-0.222
"Aug 23, 2011",-0.374
"Aug 24, 2011",0.033
"Aug 25, 2011",0.547
"Aug 26, 2011",-0.101
"Aug 27, 2011",-0.098
"Aug 28, 2011",-0.134
"Aug 29, 2011",-0.399
"Aug 30, 2011",-0.247
"Aug 31, 2011",-0.132
"Sep 1, 2011",0.606
"Sep 2, 2011",-0.082
"Sep 3, 2011",-0.425
"Sep 4, 2011",0.315
"Sep 5, 2011",-0.427
"Sep 6, 2011",-0.385
"Sep 7, 2011",-0.308
"Sep 8, 2011",-0.33
"Sep 9, 2011",-0.04
"Sep 10, 2011",-0.414
"Sep 11, 2011",-0.239
"Sep 12, 2011",0.055
"Sep 13, 2011",0.038
"Sep 14, 2011",-0.313
"Sep 15, 2011",0.175
"Sep 16, 2011",0.021
"Sep 17, 2011",-0.412
"Sep 18, 2011",-0.329
"Sep 19, 2011",0.092
