system:time_start,LST_Day_1km
"Jan 1, 2011",13.318
"Jan 2, 2011",13.776
"Jan 3, 2011",9.63
"Jan 4, 2011",10.412
"Jan 5, 2011",10.431
"Jan 6, 2011",6.807
"Jan 7, 2011",
"Jan 8, 2011",
"Jan 9, 2011",14.239
"Jan 10, 2011",13.363
"Jan 11, 2011",16.436
"Jan 12, 2011",15.427
"Jan 13, 2011",12.117
"Jan 14, 2011",8.256
"Jan 15, 2011",11.221
"Jan 16, 2011",7.542
"Jan 17, 2011",8.072
"Jan 18, 2011",13.915
"Jan 19, 2011",
"Jan 20, 2011",
"Jan 21, 2011",15.294
"Jan 22, 2011",16.252
"Jan 23, 2011",16.677
"Jan 24, 2011",16.079
"Jan 25, 2011",16.65
"Jan 26, 2011",15.246
"Jan 27, 2011",16.331
"Jan 28, 2011",
"Jan 29, 2011",
"Jan 30, 2011",16.578
"Jan 31, 2011",18.702
"Feb 1, 2011",13.202
"Feb 2, 2011",
"Feb 3, 2011",
"Feb 4, 2011",
"Feb 5, 2011",
"Feb 6, 2011",
"Feb 7, 2011",11.592
"Feb 8, 2011",15.391
"Feb 9, 2011",16.829
"Feb 10, 2011",8.035
"Feb 11, 2011",
"Feb 12, 2011",
"Feb 13, 2011",
"Feb 14, 2011",13.87
"Feb 15, 2011",16.39
"Feb 16, 2011",13.262
"Feb 17, 2011",17.136
"Feb 18, 2011",9.685
"Feb 19, 2011",16.349
"Feb 20, 2011",
"Feb 21, 2011",15.198
"Feb 22, 2011",
"Feb 23, 2011",
"Feb 24, 2011",11.2
"Feb 25, 2011",
"Feb 26, 2011",17.178
"Feb 27, 2011",16.912
"Feb 28, 2011",
"Mar 1, 2011",16.678
"Mar 2, 2011",
"Mar 3, 2011",
"Mar 4, 2011",18.448
"Mar 5, 2011",20.498
"Mar 6, 2011",20.868
"Mar 7, 2011",15.108
"Mar 8, 2011",20.746
"Mar 9, 2011",24.224
"Mar 10, 2011",23.238
"Mar 11, 2011",26.009
"Mar 12, 2011",25.89
"Mar 13, 2011",27.355
"Mar 14, 2011",29.067
"Mar 15, 2011",26.309
"Mar 16, 2011",19.18
"Mar 17, 2011",
"Mar 18, 2011",29.399
"Mar 19, 2011",
"Mar 20, 2011",22.794
"Mar 21, 2011",20.307
"Mar 22, 2011",27.176
"Mar 23, 2011",28.998
"Mar 24, 2011",28.658
"Mar 25, 2011",31.645
"Mar 26, 2011",26.113
"Mar 27, 2011",22.688
"Mar 28, 2011",
"Mar 29, 2011",21.616
"Mar 30, 2011",26.164
"Mar 31, 2011",26.719
"Apr 1, 2011",26.16
"Apr 2, 2011",
"Apr 3, 2011",27.248
"Apr 4, 2011",
"Apr 5, 2011",22.205
"Apr 6, 2011",
"Apr 7, 2011",29.805
"Apr 8, 2011",28.394
"Apr 9, 2011",
"Apr 10, 2011",
"Apr 11, 2011",
"Apr 12, 2011",28.316
"Apr 13, 2011",29.122
"Apr 14, 2011",32.18
"Apr 15, 2011",
"Apr 16, 2011",
"Apr 17, 2011",
"Apr 18, 2011",23.898
"Apr 19, 2011",29.024
"Apr 20, 2011",28.244
"Apr 21, 2011",31.213
"Apr 22, 2011",32.917
"Apr 23, 2011",34.478
"Apr 24, 2011",37.604
"Apr 25, 2011",36.664
"Apr 26, 2011",39.77
"Apr 27, 2011",31.121
"Apr 28, 2011",32.231
"Apr 29, 2011",28.066
"Apr 30, 2011",30.147
"May 1, 2011",38.251
"May 2, 2011",37.872
"May 3, 2011",42.527
"May 4, 2011",35.651
"May 5, 2011",34.041
"May 6, 2011",29.775
"May 7, 2011",33.447
"May 8, 2011",37.872
"May 9, 2011",38.689
"May 10, 2011",40.279
"May 11, 2011",34.784
"May 12, 2011",41.2
"May 13, 2011",39.313
"May 14, 2011",46.941
"May 15, 2011",45.526
"May 16, 2011",43.844
"May 17, 2011",43.863
"May 18, 2011",37.294
"May 19, 2011",45.316
"May 20, 2011",27.922
"May 21, 2011",36.229
"May 22, 2011",36.275
"May 23, 2011",40.64
"May 24, 2011",40.686
"May 25, 2011",36.881
"May 26, 2011",36.514
"May 27, 2011",34.41
"May 28, 2011",44.892
"May 29, 2011",40.11
"May 30, 2011",45.022
"May 31, 2011",40.396
"Jun 1, 2011",35.645
"Jun 2, 2011",40.806
"Jun 3, 2011",40.495
"Jun 4, 2011",47.906
"Jun 5, 2011",38.116
"Jun 6, 2011",45.519
"Jun 7, 2011",43.01
"Jun 8, 2011",40.346
"Jun 9, 2011",39.824
"Jun 10, 2011",34.786
"Jun 11, 2011",39.366
"Jun 12, 2011",30.401
"Jun 13, 2011",39.575
"Jun 14, 2011",39.73
"Jun 15, 2011",44.262
"Jun 16, 2011",36.482
"Jun 17, 2011",36.722
"Jun 18, 2011",34.402
"Jun 19, 2011",36.936
"Jun 20, 2011",34.788
"Jun 21, 2011",30.562
"Jun 22, 2011",38.724
"Jun 23, 2011",31.681
"Jun 24, 2011",36.339
"Jun 25, 2011",35.114
"Jun 26, 2011",
"Jun 27, 2011",26.846
"Jun 28, 2011",
"Jun 29, 2011",31.315
"Jun 30, 2011",26.647
"Jul 1, 2011",30.459
"Jul 2, 2011",31.337
"Jul 3, 2011",
"Jul 4, 2011",33.71
"Jul 5, 2011",34.441
"Jul 6, 2011",35.313
"Jul 7, 2011",22.158
"Jul 8, 2011",
"Jul 9, 2011",27.671
"Jul 10, 2011",30.593
"Jul 11, 2011",31.703
"Jul 12, 2011",31.783
"Jul 13, 2011",33.397
