system:time_start,NDVI
"Jan 1, 2011","3,743.234"
"Jan 17, 2011","3,540.366"
"Feb 2, 2011","3,960.647"
"Feb 18, 2011","4,262.45"
"Mar 6, 2011","4,087.24"
"Mar 22, 2011","4,381.297"
"Apr 7, 2011","4,452.565"
"Apr 23, 2011","3,935.555"
"May 9, 2011","3,289.422"
"May 25, 2011","2,882.036"
"Jun 10, 2011","2,715.682"
"Jun 26, 2011","3,728.134"
"Jul 12, 2011","4,532.562"
"Jul 28, 2011","5,384.752"
"Aug 13, 2011","5,847.215"
"Aug 29, 2011","5,586.776"
"Sep 14, 2011","5,078.791"
"Sep 30, 2011","4,201.975"
"Oct 16, 2011","3,974.094"
"Nov 1, 2011","3,816.207"
"Nov 17, 2011","3,670.052"
"Dec 3, 2011","3,625.686"
"Dec 19, 2011","3,321.51"
"Jan 1, 2012","3,451.511"
"Jan 17, 2012","3,372.617"
"Feb 2, 2012","3,441.29"
"Feb 18, 2012","3,495.143"
"Mar 5, 2012","3,613.253"
"Mar 21, 2012","3,669.383"
"Apr 6, 2012","3,632.424"
"Apr 22, 2012","3,479.147"
"May 8, 2012","2,932.743"
"May 24, 2012","2,484.446"
"Jun 9, 2012","2,361.16"
"Jun 25, 2012","2,251.969"
"Jul 11, 2012","3,276.82"
"Jul 27, 2012","4,065.608"
"Aug 12, 2012","5,093.61"
"Aug 28, 2012","5,529.912"
"Sep 13, 2012","5,203.755"
"Sep 29, 2012","4,329.853"
"Oct 15, 2012","3,799.954"
"Oct 31, 2012","3,579.404"
"Nov 16, 2012","3,323.454"
"Dec 2, 2012","3,195.937"
"Dec 18, 2012","3,379.736"
"Jan 1, 2013","3,304.787"
"Jan 17, 2013","3,394.46"
"Feb 2, 2013","3,776.017"
"Feb 18, 2013","4,245.054"
"Mar 6, 2013","4,314.967"
"Mar 22, 2013","5,064.796"
"Apr 7, 2013","4,552.225"
"Apr 23, 2013","3,901.956"
"May 9, 2013","3,395.876"
"May 25, 2013","3,188.96"
"Jun 10, 2013","3,349.636"
"Jun 26, 2013","3,838.353"
"Jul 12, 2013","4,826.25"
"Jul 28, 2013","5,538.588"
"Aug 13, 2013","5,810.046"
"Aug 29, 2013","5,607.906"
"Sep 14, 2013","5,149.932"
"Sep 30, 2013","4,552.569"
"Oct 16, 2013","4,436.764"
"Nov 1, 2013","3,989.741"
"Nov 17, 2013","3,911.553"
"Dec 3, 2013","3,971.298"
"Dec 19, 2013","3,853.915"
"Jan 1, 2014","3,701.314"
"Jan 17, 2014","3,864.644"
"Feb 2, 2014","3,815.184"
"Feb 18, 2014","3,942.994"
"Mar 6, 2014","4,180.57"
"Mar 22, 2014","4,643.452"
"Apr 7, 2014","4,565.096"
"Apr 23, 2014","4,160.648"
"May 9, 2014","3,861.237"
"May 25, 2014","3,654.473"
"Jun 10, 2014","3,089.654"
"Jun 26, 2014","3,417.039"
"Jul 12, 2014","3,273.349"
"Jul 28, 2014","5,032.563"
"Aug 13, 2014","5,650.143"
"Aug 29, 2014","5,608.426"
"Sep 14, 2014","5,535.349"
"Sep 30, 2014","4,890.417"
"Oct 16, 2014","4,474.401"
"Nov 1, 2014","4,158.12"
"Nov 17, 2014","3,808.688"
"Dec 3, 2014","3,699.643"
"Dec 19, 2014","3,487.64"
"Jan 1, 2015","3,449.495"
"Jan 17, 2015","3,800.167"
"Feb 2, 2015","3,872.713"
"Feb 18, 2015","3,994.827"
"Mar 6, 2015","4,257.025"
"Mar 22, 2015","4,477.765"
"Apr 7, 2015","4,672"
"Apr 23, 2015","4,534.058"
"May 9, 2015","4,058.582"
"May 25, 2015","3,732.102"
"Jun 10, 2015","3,549.31"
"Jun 26, 2015","3,959.93"
"Jul 12, 2015","5,037.39"
"Jul 28, 2015","5,734.774"
"Aug 13, 2015","5,795.767"
"Aug 29, 2015","5,208.428"
"Sep 14, 2015","4,725.668"
"Sep 30, 2015","4,559.659"
"Oct 16, 2015","4,368.774"
"Nov 1, 2015","4,322.056"
"Nov 17, 2015","4,043.387"
"Dec 3, 2015","4,067.475"
"Dec 19, 2015","4,077.252"
"Jan 1, 2016","4,178.322"
"Jan 17, 2016","4,157.855"
"Feb 2, 2016","4,217.897"
"Feb 18, 2016","4,604.144"
"Mar 5, 2016","4,868.089"
"Mar 21, 2016","4,899.292"
"Apr 6, 2016","4,582.948"
"Apr 22, 2016","4,103.514"
"May 8, 2016","3,427.404"
"May 24, 2016","3,320.614"
"Jun 9, 2016","3,437.136"
"Jun 25, 2016","3,711.814"
"Jul 11, 2016","4,952.688"
"Jul 27, 2016","5,681.176"
"Aug 12, 2016","5,785.529"
"Aug 28, 2016","5,632.455"
"Sep 13, 2016","5,107.971"
"Sep 29, 2016","4,081.415"
"Oct 15, 2016","3,915.907"
"Oct 31, 2016","3,399.656"
"Nov 16, 2016","3,208.088"
"Dec 2, 2016","3,066.497"
"Dec 18, 2016","2,941.591"
"Jan 1, 2017","3,236.033"
"Jan 17, 2017","3,293.037"
"Feb 2, 2017","3,533.625"
"Feb 18, 2017","4,128.297"
"Mar 6, 2017","4,308.356"
"Mar 22, 2017","4,329.063"
"Apr 7, 2017","4,334.455"
"Apr 23, 2017","3,930.737"
"May 9, 2017","3,309.387"
"May 25, 2017","3,015.036"
"Jun 10, 2017","3,205.16"
"Jun 26, 2017","4,186.003"
"Jul 12, 2017","5,046.304"
"Jul 28, 2017","5,445.704"
"Aug 13, 2017","5,639.934"
"Aug 29, 2017","5,511.999"
"Sep 14, 2017","4,994.136"
"Sep 30, 2017","4,052.267"
"Oct 16, 2017","3,582.781"
"Nov 1, 2017","2,986.664"
"Nov 17, 2017","3,561.489"
"Dec 3, 2017","3,337.021"
"Dec 19, 2017","3,570.653"
"Jan 1, 2018","3,564.391"
"Jan 17, 2018","3,692.95"
"Feb 2, 2018","3,766.908"
"Feb 18, 2018","4,143.222"
