system:time_start,NDVI
"Feb 18, 2000","3,974.75"
"Mar 5, 2000","3,921.206"
"Mar 21, 2000","4,089.473"
"Apr 6, 2000","3,760.469"
"Apr 22, 2000","3,016.761"
"May 8, 2000","2,590.806"
"May 24, 2000","2,386.132"
"Jun 9, 2000","2,428.247"
"Jun 25, 2000","2,915.186"
"Jul 11, 2000","4,270.67"
"Jul 27, 2000","5,192.174"
"Aug 12, 2000","5,541.019"
"Aug 28, 2000","5,537.212"
"Sep 13, 2000","4,720.179"
"Sep 29, 2000","4,404.257"
"Oct 15, 2000","3,676.82"
"Oct 31, 2000","3,368.205"
"Nov 16, 2000","3,332.543"
"Dec 2, 2000","3,081.252"
"Dec 18, 2000","3,120.268"
"Jan 1, 2001","3,012.741"
"Jan 17, 2001","2,879.831"
"Feb 2, 2001","2,629.211"
"Feb 18, 2001","2,608.652"
"Mar 6, 2001","2,592.224"
"Mar 22, 2001","2,625.067"
"Apr 7, 2001","2,646.521"
"Apr 23, 2001","2,428.487"
"May 9, 2001","2,221.779"
"May 25, 2001","2,133.335"
"Jun 10, 2001","2,509.117"
"Jun 26, 2001","4,440.041"
"Jul 12, 2001","5,032.794"
"Jul 28, 2001","5,585.997"
"Aug 13, 2001","5,378.853"
"Aug 29, 2001","4,761.165"
"Sep 14, 2001","4,193.034"
"Sep 30, 2001","3,905.607"
"Oct 16, 2001","3,390.592"
"Nov 1, 2001","3,446.333"
"Nov 17, 2001","3,280.672"
"Dec 3, 2001","3,296.882"
"Dec 19, 2001","3,252.498"
"Jan 1, 2002","2,998.144"
"Jan 17, 2002","3,148.093"
"Feb 2, 2002","2,966.002"
"Feb 18, 2002","2,967.744"
"Mar 6, 2002","3,451.452"
"Mar 22, 2002","3,540.586"
"Apr 7, 2002","3,121.518"
"Apr 23, 2002","2,677.878"
"May 9, 2002","2,370.883"
"May 25, 2002","2,025.576"
"Jun 10, 2002","2,151.886"
"Jun 26, 2002","3,151.238"
"Jul 12, 2002","3,110.892"
"Jul 28, 2002","3,313.054"
"Aug 13, 2002","4,465.454"
"Aug 29, 2002","5,608.722"
"Sep 14, 2002","5,805.661"
"Sep 30, 2002","4,724.917"
"Oct 16, 2002","3,889.234"
"Nov 1, 2002","3,612.05"
"Nov 17, 2002","3,604.173"
"Dec 3, 2002","3,359.543"
"Dec 19, 2002","3,514.992"
"Jan 1, 2003","3,429.582"
"Jan 17, 2003","3,229.289"
"Feb 2, 2003","3,424.059"
"Feb 18, 2003","3,660.782"
"Mar 6, 2003","3,634.762"
"Mar 22, 2003","4,221.558"
"Apr 7, 2003","4,045.886"
"Apr 23, 2003","3,593.894"
"May 9, 2003","3,122.641"
"May 25, 2003","2,843.751"
"Jun 10, 2003","2,766.248"
"Jun 26, 2003","3,313.699"
"Jul 12, 2003","4,955.073"
"Jul 28, 2003","5,821.784"
"Aug 13, 2003","5,791.494"
"Aug 29, 2003","5,451.516"
"Sep 14, 2003","5,207.694"
"Sep 30, 2003","4,310.301"
"Oct 16, 2003","3,919.898"
"Nov 1, 2003","3,792.845"
"Nov 17, 2003","3,808.909"
"Dec 3, 2003","3,753.623"
"Dec 19, 2003","3,998.321"
"Jan 1, 2004","4,008.061"
"Jan 17, 2004","4,510.447"
"Feb 2, 2004","4,362.657"
"Feb 18, 2004","4,413.906"
"Mar 5, 2004","4,608.443"
"Mar 21, 2004","4,247.954"
"Apr 6, 2004","3,576.231"
"Apr 22, 2004","3,505.583"
"May 8, 2004","3,162.667"
"May 24, 2004","2,953.252"
"Jun 9, 2004","3,247.079"
"Jun 25, 2004","4,056.004"
"Jul 11, 2004","4,207.979"
"Jul 27, 2004","4,873.051"
"Aug 12, 2004","5,496.684"
"Aug 28, 2004","5,511.418"
"Sep 13, 2004","4,368.652"
"Sep 29, 2004","3,925.65"
"Oct 15, 2004","3,991.843"
"Oct 31, 2004","3,876.361"
"Nov 16, 2004","3,657.978"
"Dec 2, 2004","3,927.531"
"Dec 18, 2004","4,323.657"
"Jan 1, 2005","4,250.352"
"Jan 17, 2005","4,180.426"
"Feb 2, 2005","4,239.672"
"Feb 18, 2005","4,350.858"
"Mar 6, 2005","4,462.242"
"Mar 22, 2005","4,981.55"
"Apr 7, 2005","4,267.977"
"Apr 23, 2005","4,199.621"
"May 9, 2005","3,585.437"
"May 25, 2005","3,211.792"
