Months,Years,Area,Flood,,,,,,,,,,,,,
Janruary,2000,Gilgit,,,,,,,,,,,,,,
February,2000,Gilgit,,,,,,,,,,,,,,
March,2000,Gilgit,,,,,,,,,,,,,,
April,2000,Gilgit,,,,,,,,,,,,,, 
May,2000,Gilgit,,,,,,,,,,,,,,
June,2000,Gilgit,,,,,,,,,,,,,,
July,2000,Gilgit,,,,,,,,,,,,,,
August,2000,Gilgit,,,,,,,,,,,,,,
September,2000,Gilgit,,,,,,,,,,,,,,
October,2000,Gilgit,,,,,,,,,,,,,,
November,2000,Gilgit,,,,,,,,,,,,,,
December,2000,Gilgit,,,,,,,,,,,,,,
Janruary,2001,Gilgit,,,,,,,,,,,,,,
February,2001,Gilgit,,,,,,,,,,,,,,
March,2001,Gilgit,,,,,,,,,,,,,,
April,2001,Gilgit,,,,,,,,,,,,,,
May,2001,Gilgit,,,,,,,,,,,,,,
June,2001,Gilgit,,,,,,,,,,,,,,
July,2001,Gilgit,,,,,,,,,,,,,,
August,2001,Gilgit,,,,,,,,,,,,,,
September,2001,Gilgit,,,,,,,,,,,,,,
October,2001,Gilgit,,,,,,,,,,,,,,
November,2001,Gilgit,,,,,,,,,,,,,,
December,2001,Gilgit,,,,,,,,,,,,,,
Janruary,2002,Gilgit,,,,,,,,,,,,,,
February,2002,Gilgit,,,,,,,,,,,,,,
March,2002,Gilgit,,,,,,,,,,,,,,
April,2002,Gilgit,,,,,,,,,,,,,,
May,2002,Gilgit,,,,,,,,,,,,,,
June,2002,Gilgit,,,,,,,,,,,,,,
July,2002,Gilgit,,,,,,,,,,,,,,
August,2002,Gilgit,,,,,,,,,,,,,,
September,2002,Gilgit,,,,,,,,,,,,,,
October,2002,Gilgit,,,,,,,,,,,,,,
November,2002,Gilgit,,,,,,,,,,,,,,
December,2002,Gilgit,,,,,,,,,,,,,,
Janruary,2003,Gilgit,,,,,,,,,,,,,,
February,2003,Gilgit,,,,,,,,,,,,,,
March,2003,Gilgit,,,,,,,,,,,,,,
April,2003,Gilgit,,,,,,,,,,,,,,
May,2003,Gilgit,Yes,,,,,,,,,,,,,
June,2003,Gilgit,,,,,,,,,,,,,,
July,2003,Gilgit,,,,,,,,,,,,,,
August,2003,Gilgit,,,,,,,,,,,,,,
September,2003,Gilgit,,,,,,,,,,,,,,
October,2003,Gilgit,,,,,,,,,,,,,,
November,2003,Gilgit,,,,,,,,,,,,,,
December,2003,Gilgit,,,,,,,,,,,,,,
Janruary,2004,Gilgit,,,,,,,,,,,,,,
February,2004,Gilgit,,,,,,,,,,,,,,
March,2004,Gilgit,,,,,,,,,,,,,,
April,2004,Gilgit,,,,,,,,,,,,,,
May,2004,Gilgit,,,,,,,,,,,,,,
June,2004,Gilgit,,,,,,,,,,,,,,
July,2004,Gilgit,,,,,,,,,,,,,,
August,2004,Gilgit,,,,,,,,,,,,,,
September,2004,Gilgit,,,,,,,,,,,,,,
October,2004,Gilgit,,,,,,,,,,,,,,
November,2004,Gilgit,,,,,,,,,,,,,,
December,2004,Gilgit,,,,,,,,,,,,,,
Janruary,2005,Gilgit,,,,,,,,,,,,,,
February,2005,Gilgit,,,,,,,,,,,,,,
March,2005,Gilgit,,,,,,,,,,,,,,
April,2005,Gilgit,,,,,,,,,,,,,,
May,2005,Gilgit,,,,,,,,,,,,,,
June,2005,Gilgit,,,,,,,,,,,,,,
July,2005,Gilgit,Yes,,,,,,,,,,,,,
August,2005,Gilgit,,,,,,,,,,,,,,
September,2005,Gilgit,,,,,,,,,,,,,,
October,2005,Gilgit,,,,,,,,,,,,,,
November,2005,Gilgit,,,,,,,,,,,,,,
December,2005,Gilgit,,,,,,,,,,,,,,
Janruary,2006,Gilgit,,,,,,,,,,,,,,
February,2006,Gilgit,,,,,,,,,,,,,,
March,2006,Gilgit,,,,,,,,,,,,,,
April,2006,Gilgit,,,,,,,,,,,,,,
May,2006,Gilgit,,,,,,,,,,,,,,
June,2006,Gilgit,,,,,,,,,,,,,,
July,2006,Gilgit,Yes,,,,,,,,,,,,,
August,2006,Gilgit,,,,,,,,,,,,,,
September,2006,Gilgit,,,,,,,,,,,,,,
October,2006,Gilgit,,,,,,,,,,,,,,
November,2006,Gilgit,,,,,,,,,,,,,,
December,2006,Gilgit,,,,,,,,,,,,,,
