system:time_start,NDSI
"Jan 1, 2011",0.409
"Jan 2, 2011",0.359
"Jan 3, 2011",0.318
"Jan 4, 2011",0.265
"Jan 5, 2011",0.211
"Jan 6, 2011",0.266
"Jan 7, 2011",0.289
"Jan 8, 2011",0.394
"Jan 9, 2011",0.34
"Jan 10, 2011",0.336
"Jan 11, 2011",0.285
"Jan 12, 2011",0.273
"Jan 13, 2011",0.349
"Jan 14, 2011",0.322
"Jan 15, 2011",0.374
"Jan 16, 2011",0.461
"Jan 17, 2011",0.422
"Jan 18, 2011",0.395
"Jan 19, 2011",0.433
"Jan 20, 2011",0.453
"Jan 21, 2011",0.285
"Jan 22, 2011",0.393
"Jan 23, 2011",0.346
"Jan 24, 2011",0.362
"Jan 25, 2011",0.365
"Jan 26, 2011",0.386
"Jan 27, 2011",0.412
"Jan 28, 2011",0.407
"Jan 29, 2011",0.428
"Jan 30, 2011",0.33
"Jan 31, 2011",0.391
"Feb 1, 2011",0.419
"Feb 2, 2011",0.412
"Feb 3, 2011",0.448
"Feb 4, 2011",0.402
"Feb 5, 2011",0.427
"Feb 6, 2011",0.37
"Feb 7, 2011",0.515
"Feb 8, 2011",0.49
"Feb 9, 2011",0.475
"Feb 10, 2011",0.598
"Feb 11, 2011",0.443
"Feb 12, 2011",0.469
"Feb 13, 2011",0.398
"Feb 14, 2011",0.48
"Feb 15, 2011",0.462
"Feb 16, 2011",0.568
"Feb 17, 2011",0.459
"Feb 18, 2011",0.556
"Feb 19, 2011",0.436
"Feb 20, 2011",0.409
"Feb 21, 2011",0.536
"Feb 22, 2011",0.42
"Feb 23, 2011",0.523
"Feb 24, 2011",0.345
"Feb 25, 2011",0.423
"Feb 26, 2011",0.384
"Feb 27, 2011",0.43
"Feb 28, 2011",0.468
"Mar 1, 2011",0.341
"Mar 2, 2011",0.492
"Mar 3, 2011",0.358
"Mar 4, 2011",0.408
"Mar 5, 2011",0.36
"Mar 6, 2011",0.394
"Mar 7, 2011",0.452
"Mar 8, 2011",0.467
"Mar 9, 2011",0.535
"Mar 10, 2011",0.534
"Mar 11, 2011",0.537
"Mar 12, 2011",0.511
"Mar 13, 2011",0.513
"Mar 14, 2011",0.516
"Mar 15, 2011",0.503
"Mar 16, 2011",0.412
"Mar 17, 2011",0.367
"Mar 18, 2011",0.386
"Mar 19, 2011",0.448
"Mar 20, 2011",0.447
"Mar 21, 2011",0.497
"Mar 22, 2011",0.461
"Mar 23, 2011",0.412
"Mar 24, 2011",0.397
"Mar 25, 2011",0.436
"Mar 26, 2011",0.45
"Mar 27, 2011",0.418
"Mar 28, 2011",0.474
"Mar 29, 2011",0.41
"Mar 30, 2011",0.395
"Mar 31, 2011",0.372
"Apr 1, 2011",0.426
"Apr 2, 2011",0.422
"Apr 3, 2011",0.487
"Apr 4, 2011",0.411
"Apr 5, 2011",0.435
"Apr 6, 2011",0.47
"Apr 7, 2011",0.423
"Apr 8, 2011",0.459
"Apr 9, 2011",0.474
"Apr 10, 2011",0.515
"Apr 11, 2011",0.381
"Apr 12, 2011",0.388
"Apr 13, 2011",0.414
"Apr 14, 2011",0.424
"Apr 15, 2011",0.533
"Apr 16, 2011",0.307
"Apr 17, 2011",0.528
"Apr 18, 2011",0.424
"Apr 19, 2011",0.421
"Apr 20, 2011",0.42
"Apr 21, 2011",0.393
"Apr 22, 2011",0.432
"Apr 23, 2011",0.403
"Apr 24, 2011",0.427
"Apr 25, 2011",0.396
"Apr 26, 2011",0.399
"Apr 27, 2011",0.413
"Apr 28, 2011",0.365
"Apr 29, 2011",0.336
"Apr 30, 2011",0.381
"May 1, 2011",0.324
"May 2, 2011",0.303
"May 3, 2011",0.324
"May 4, 2011",0.322
"May 5, 2011",0.38
"May 6, 2011",0.432
"May 7, 2011",0.201
"May 8, 2011",0.248
"May 9, 2011",0.256
"May 10, 2011",0.236
"May 11, 2011",0.271
"May 12, 2011",0.284
"May 13, 2011",0.252
"May 14, 2011",0.218
"May 15, 2011",0.253
"May 16, 2011",0.197
"May 17, 2011",0.243
"May 18, 2011",0.177
"May 19, 2011",0.158
"May 20, 2011",0.17
"May 21, 2011",0.42
"May 22, 2011",0.23
"May 23, 2011",0.131
"May 24, 2011",0.236
"May 25, 2011",0.135
"May 26, 2011",0.213
"May 27, 2011",0.183
"May 28, 2011",0.115
"May 29, 2011",0.15
"May 30, 2011",0.062
"May 31, 2011",0.129
"Jun 1, 2011",0.404
"Jun 2, 2011",0.275
"Jun 3, 2011",0.089
"Jun 4, 2011",0.095
"Jun 5, 2011",0.084
"Jun 6, 2011",0.068
"Jun 7, 2011",0.103
