system:time_start,LST_Day_1km
"Jan 1, 2011",-9.697
"Jan 2, 2011",-9.611
"Jan 3, 2011",-6.409
"Jan 4, 2011",-4.976
"Jan 5, 2011",-5.706
"Jan 6, 2011",-5.214
"Jan 7, 2011",-8.064
"Jan 8, 2011",-14.273
"Jan 9, 2011",-10.842
"Jan 10, 2011",-8.7
"Jan 11, 2011",-5.066
"Jan 12, 2011",-6.405
"Jan 13, 2011",-8.677
"Jan 14, 2011",-4.634
"Jan 15, 2011",-2.681
"Jan 16, 2011",-15.515
"Jan 17, 2011",-18.123
"Jan 18, 2011",-10.744
"Jan 19, 2011",-13.477
"Jan 20, 2011",-16.278
"Jan 21, 2011",0.165
"Jan 22, 2011",-9.291
"Jan 23, 2011",-9.504
"Jan 24, 2011",-6.458
"Jan 25, 2011",-9.144
"Jan 26, 2011",-8.025
"Jan 27, 2011",-11.001
"Jan 28, 2011",-11.34
"Jan 29, 2011",-11.604
"Jan 30, 2011",-5.334
"Jan 31, 2011",1.603
"Feb 1, 2011",-10.302
"Feb 2, 2011",-9.492
"Feb 3, 2011",-0.35
"Feb 4, 2011",
"Feb 5, 2011",-6.114
"Feb 6, 2011",-22.1
"Feb 7, 2011",
"Feb 8, 2011",-9.523
"Feb 9, 2011",-5.092
"Feb 10, 2011",-12.526
"Feb 11, 2011",-11.397
"Feb 12, 2011",-12.479
"Feb 13, 2011",-14.385
"Feb 14, 2011",-14.17
"Feb 15, 2011",-9.388
"Feb 16, 2011",-13.04
"Feb 17, 2011",-8.247
"Feb 18, 2011",-11.13
"Feb 19, 2011",-9.738
"Feb 20, 2011",-15.26
"Feb 21, 2011",-8.656
"Feb 22, 2011",-0.467
"Feb 23, 2011",
"Feb 24, 2011",9.239
"Feb 25, 2011",-0.619
"Feb 26, 2011",0.444
"Feb 27, 2011",-4.764
"Feb 28, 2011",-4.63
"Mar 1, 2011",3.304
"Mar 2, 2011",
"Mar 3, 2011",-1.593
"Mar 4, 2011",0.696
"Mar 5, 2011",10.13
"Mar 6, 2011",6.305
"Mar 7, 2011",1.864
"Mar 8, 2011",-3.748
"Mar 9, 2011",-4.368
"Mar 10, 2011",-3.83
"Mar 11, 2011",-1.449
"Mar 12, 2011",-1.169
"Mar 13, 2011",2.624
"Mar 14, 2011",0.867
"Mar 15, 2011",5.863
"Mar 16, 2011",5.638
"Mar 17, 2011",7.158
"Mar 18, 2011",8.216
"Mar 19, 2011",
"Mar 20, 2011",1.586
"Mar 21, 2011",-3.982
"Mar 22, 2011",4.557
"Mar 23, 2011",5.152
"Mar 24, 2011",8.367
"Mar 25, 2011",4.565
"Mar 26, 2011",5.267
