system:time_start,NDVI
"Jan 1, 2011",625.969
"Jan 17, 2011",539.722
"Feb 2, 2011",154.869
"Feb 18, 2011",300.575
"Mar 6, 2011",323.447
"Mar 22, 2011",455.031
"Apr 7, 2011",549.423
"Apr 23, 2011",665.55
"May 9, 2011","1,023.302"
"May 25, 2011","1,423.976"
"Jun 10, 2011","1,759.594"
"Jun 26, 2011","2,082.096"
"Jul 12, 2011","2,279.949"
"Jul 28, 2011","2,352.187"
"Aug 13, 2011","2,246.484"
"Aug 29, 2011","2,190.626"
"Sep 14, 2011","1,899.525"
"Sep 30, 2011","1,708.861"
"Oct 16, 2011","1,268.465"
"Nov 1, 2011",919.463
"Nov 17, 2011",884.603
"Dec 3, 2011",795.556
"Dec 19, 2011",632.149
"Jan 1, 2012",568.075
"Jan 17, 2012",405.204
"Feb 2, 2012",368.382
"Feb 18, 2012",386.811
"Mar 5, 2012",471.282
"Mar 21, 2012",462.043
"Apr 6, 2012",592.565
"Apr 22, 2012",790.107
"May 8, 2012",908.78
"May 24, 2012","1,003.77"
"Jun 9, 2012","1,266.715"
"Jun 25, 2012","1,644.767"
"Jul 11, 2012","2,014.794"
"Jul 27, 2012","2,230.057"
"Aug 12, 2012","2,386.684"
"Aug 28, 2012","2,341.885"
"Sep 13, 2012","1,990.612"
"Sep 29, 2012","1,829.285"
"Oct 15, 2012","1,087.72"
"Oct 31, 2012","1,160.748"
"Nov 16, 2012",870.811
"Dec 2, 2012",673.901
"Dec 18, 2012",400.937
"Jan 1, 2013",405.778
"Jan 17, 2013",401.007
"Feb 2, 2013",366.833
"Feb 18, 2013",421.791
"Mar 6, 2013",471.091
"Mar 22, 2013",653.933
"Apr 7, 2013",714.625
"Apr 23, 2013",818.462
"May 9, 2013",942.826
"May 25, 2013","1,235.944"
"Jun 10, 2013","1,650.762"
"Jun 26, 2013","2,108.828"
"Jul 12, 2013","2,347.344"
"Jul 28, 2013","2,288.599"
"Aug 13, 2013","2,360.292"
"Aug 29, 2013","2,291.342"
"Sep 14, 2013","2,097.997"
"Sep 30, 2013","1,868.998"
"Oct 16, 2013","1,612.352"
"Nov 1, 2013",986.025
"Nov 17, 2013",969.923
"Dec 3, 2013",873.547
"Dec 19, 2013",575.493
"Jan 1, 2014",466.99
"Jan 17, 2014",503.718
"Feb 2, 2014",441.742
"Feb 18, 2014",545.287
"Mar 6, 2014",460.341
"Mar 22, 2014",570.69
"Apr 7, 2014",617.49
"Apr 23, 2014",594.417
"May 9, 2014",965.595
"May 25, 2014","1,040.47"
"Jun 10, 2014","1,308.848"
"Jun 26, 2014","1,742.013"
"Jul 12, 2014","2,194.763"
"Jul 28, 2014","2,328.142"
"Aug 13, 2014","2,284.012"
"Aug 29, 2014","1,879.273"
"Sep 14, 2014","1,888.552"
"Sep 30, 2014","1,741.68"
"Oct 16, 2014","1,287.824"
"Nov 1, 2014",998.054
"Nov 17, 2014",915.344
"Dec 3, 2014",874.212
"Dec 19, 2014",681.841
"Jan 1, 2015",706.674
"Jan 17, 2015",616.264
"Feb 2, 2015",525.95
"Feb 18, 2015",400.8
"Mar 6, 2015",447.299
"Mar 22, 2015",482.61
"Apr 7, 2015",561.005
"Apr 23, 2015",778.556
"May 9, 2015","1,059.596"
"May 25, 2015","1,200.384"
"Jun 10, 2015","1,467.845"
"Jun 26, 2015","1,792.022"
"Jul 12, 2015","2,233.982"
"Jul 28, 2015","2,514.938"
