Months,Years,Area,Flood,,,,,,,,,,,,,
Janruary,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,, 
May,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2000,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2001,Khyber Pakhtunkhwa,Yes,,,,,,,,,,,,,
August,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2001,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2002,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2003,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2004,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2005,Khyber Pakhtunkhwa,Yes,,,,,,,,,,,,,
July,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2005,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2006,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2007,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2007,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2007,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2007,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
