system:time_start,LST_Day_1km
"Jan 1, 2011",3.461
"Jan 2, 2011",8.798
"Jan 3, 2011",6.161
"Jan 4, 2011",6.909
"Jan 5, 2011",7.051
"Jan 6, 2011",6.723
"Jan 7, 2011",13.369
"Jan 8, 2011",2.674
"Jan 9, 2011",7.091
"Jan 10, 2011",5.435
"Jan 11, 2011",14.987
"Jan 12, 2011",11.531
"Jan 13, 2011",11.158
"Jan 14, 2011",12.007
"Jan 15, 2011",2.836
"Jan 16, 2011",-8.621
"Jan 17, 2011",2.823
"Jan 18, 2011",6.269
"Jan 19, 2011",1.683
"Jan 20, 2011",-5.134
"Jan 21, 2011",14.554
"Jan 22, 2011",6.4
"Jan 23, 2011",9.348
"Jan 24, 2011",4.535
"Jan 25, 2011",8.142
"Jan 26, 2011",3.748
"Jan 27, 2011",9.736
"Jan 28, 2011",19.672
"Jan 29, 2011",-10.226
"Jan 30, 2011",10.613
"Jan 31, 2011",11.494
"Feb 1, 2011",13.736
"Feb 2, 2011",10.351
"Feb 3, 2011",18.011
"Feb 4, 2011",
"Feb 5, 2011",9.216
"Feb 6, 2011",17.335
"Feb 7, 2011",14.384
"Feb 8, 2011",10.623
"Feb 9, 2011",10.707
"Feb 10, 2011",-0.633
"Feb 11, 2011",
"Feb 12, 2011",-13.199
"Feb 13, 2011",10.002
"Feb 14, 2011",15.013
"Feb 15, 2011",9.598
"Feb 16, 2011",3.982
"Feb 17, 2011",8.706
"Feb 18, 2011",-6.672
"Feb 19, 2011",18.062
"Feb 20, 2011",11.687
"Feb 21, 2011",8.326
"Feb 22, 2011",14.986
"Feb 23, 2011",20.211
"Feb 24, 2011",15.833
"Feb 25, 2011",2.513
"Feb 26, 2011",14.137
"Feb 27, 2011",0.489
"Feb 28, 2011",
"Mar 1, 2011",13.997
"Mar 2, 2011",4.764
"Mar 3, 2011",8.792
"Mar 4, 2011",15.715
"Mar 5, 2011",17.625
"Mar 6, 2011",12.672
"Mar 7, 2011",18.089
"Mar 8, 2011",11.461
"Mar 9, 2011",14.403
"Mar 10, 2011",15.642
"Mar 11, 2011",17.052
"Mar 12, 2011",16.612
"Mar 13, 2011",20.862
"Mar 14, 2011",21.044
"Mar 15, 2011",20.686
"Mar 16, 2011",27.601
"Mar 17, 2011",22.588
"Mar 18, 2011",22.933
"Mar 19, 2011",24.357
"Mar 20, 2011",20.063
"Mar 21, 2011",14.857
"Mar 22, 2011",21.863
"Mar 23, 2011",23.444
"Mar 24, 2011",24.898
"Mar 25, 2011",26.087
"Mar 26, 2011",26.38
"Mar 27, 2011",28.622
"Mar 28, 2011",24.6
"Mar 29, 2011",27.81
"Mar 30, 2011",26.698
"Mar 31, 2011",21.402
"Apr 1, 2011",28.321
"Apr 2, 2011",25.528
"Apr 3, 2011",22.576
"Apr 4, 2011",21.439
"Apr 5, 2011",17.72
"Apr 6, 2011",17.962
"Apr 7, 2011",20.474
"Apr 8, 2011",14.424
"Apr 9, 2011",25.662
"Apr 10, 2011",24.669
"Apr 11, 2011",11.835
"Apr 12, 2011",20.072
"Apr 13, 2011",21.099
"Apr 14, 2011",24.605
"Apr 15, 2011",30.103
"Apr 16, 2011",22.518
"Apr 17, 2011",28.538
"Apr 18, 2011",25.466
"Apr 19, 2011",23.229
"Apr 20, 2011",22.146
"Apr 21, 2011",25.045
"Apr 22, 2011",26.143
"Apr 23, 2011",29.083
"Apr 24, 2011",30.324
"Apr 25, 2011",28.174
"Apr 26, 2011",32.439
"Apr 27, 2011",27.947
"Apr 28, 2011",25.752
"Apr 29, 2011",33.676
"Apr 30, 2011",27.947
"May 1, 2011",29.2
"May 2, 2011",31.263
"May 3, 2011",33.711
"May 4, 2011",29.607
"May 5, 2011",34.862
"May 6, 2011",32.591
"May 7, 2011",29.535
"May 8, 2011",30.274
