system:time_start,NDVI
"Jan 1, 2011","2,167.715"
"Jan 17, 2011","1,970.328"
"Feb 2, 2011","1,961.909"
"Feb 18, 2011","2,075.993"
"Mar 6, 2011","2,061.597"
"Mar 22, 2011","2,290.486"
"Apr 7, 2011","2,535.493"
"Apr 23, 2011","2,461.804"
"May 9, 2011","2,508.824"
"May 25, 2011","2,506.354"
"Jun 10, 2011","2,552.688"
"Jun 26, 2011","2,863.931"
"Jul 12, 2011","3,082.657"
"Jul 28, 2011","3,335.063"
"Aug 13, 2011","3,415.64"
"Aug 29, 2011","3,673.176"
"Sep 14, 2011","3,436.871"
"Sep 30, 2011","3,137.023"
"Oct 16, 2011","2,750.764"
"Nov 1, 2011","2,595.103"
"Nov 17, 2011","2,469.266"
"Dec 3, 2011","2,388.516"
"Dec 19, 2011","2,067.326"
"Jan 1, 2012","2,062.786"
"Jan 17, 2012","1,860.528"
"Feb 2, 2012","1,791.265"
"Feb 18, 2012","1,897.3"
"Mar 5, 2012","1,936.36"
"Mar 21, 2012","2,157.587"
"Apr 6, 2012","2,317.042"
"Apr 22, 2012","2,489.638"
"May 8, 2012","2,452.976"
"May 24, 2012","2,382.167"
"Jun 9, 2012","2,427.426"
"Jun 25, 2012","2,526.275"
"Jul 11, 2012","2,846.364"
"Jul 27, 2012","3,028.911"
"Aug 12, 2012","3,247.732"
"Aug 28, 2012","3,383.964"
"Sep 13, 2012","3,473.178"
"Sep 29, 2012","3,164.502"
"Oct 15, 2012","2,668.334"
"Oct 31, 2012","2,538.031"
"Nov 16, 2012","2,254.394"
"Dec 2, 2012","2,101.447"
"Dec 18, 2012","1,994.555"
"Jan 1, 2013","1,994.681"
"Jan 17, 2013","2,003.682"
"Feb 2, 2013","1,954.808"
"Feb 18, 2013","2,169.702"
"Mar 6, 2013","2,318.432"
"Mar 22, 2013","2,756.529"
"Apr 7, 2013","2,682.962"
"Apr 23, 2013","2,572.204"
"May 9, 2013","2,522.271"
"May 25, 2013","2,582.285"
"Jun 10, 2013","2,767.74"
"Jun 26, 2013","3,015.697"
"Jul 12, 2013","3,187.186"
"Jul 28, 2013","3,335.612"
"Aug 13, 2013","3,870.821"
"Aug 29, 2013","3,726.088"
"Sep 14, 2013","3,398.791"
"Sep 30, 2013","3,055.181"
"Oct 16, 2013","2,906.685"
"Nov 1, 2013","2,477.826"
"Nov 17, 2013","2,444.199"
"Dec 3, 2013","2,364.336"
"Dec 19, 2013","2,225.32"
"Jan 1, 2014","2,156.487"
"Jan 17, 2014","2,247.855"
"Feb 2, 2014","2,076.73"
"Feb 18, 2014","2,162.755"
"Mar 6, 2014","2,317.181"
"Mar 22, 2014","2,532.35"
"Apr 7, 2014","2,548.81"
"Apr 23, 2014","2,599.575"
"May 9, 2014","2,776.341"
"May 25, 2014","2,628.231"
"Jun 10, 2014","2,586.716"
"Jun 26, 2014","2,730.233"
"Jul 12, 2014","2,988.496"
"Jul 28, 2014","3,290.945"
"Aug 13, 2014","3,420.478"
"Aug 29, 2014","3,368.243"
"Sep 14, 2014","3,251.815"
"Sep 30, 2014","2,959.003"
