Months,Years,Area,Flood
Jan,2000,Punjab,
Feb,2000,Punjab,
Mar,2000,Punjab,
Apr,2000,Punjab,
May,2000,Punjab,
Jun,2000,Punjab,
Jul,2000,Punjab,
Aug,2000,Punjab,
Sep,2000,Punjab,
Oct,2000,Punjab,
Nov,2000,Punjab,
Dec,2000,Punjab,
Jan,2001,Punjab,
Feb,2001,Punjab,
Mar,2001,Punjab,
Apr,2001,Punjab,
May,2001,Punjab,
Jun,2001,Punjab,
Jul,2001,Punjab,
Aug,2001,Punjab,
Sep,2001,Punjab,
Oct,2001,Punjab,
Nov,2001,Punjab,
Dec,2001,Punjab,
Jan,2002,Punjab,
Feb,2002,Punjab,
Mar,2002,Punjab,
Apr,2002,Punjab,
May,2002,Punjab,
Jun,2002,Punjab,
Jul,2002,Punjab,
Aug,2002,Punjab,
Sep,2002,Punjab,
Oct,2002,Punjab,
Nov,2002,Punjab,
Dec,2002,Punjab,
Jan,2003,Punjab,
Feb,2003,Punjab,
Mar,2003,Punjab,
Apr,2003,Punjab,
May,2003,Punjab,
Jun,2003,Punjab,
Jul,2003,Punjab,
Aug,2003,Punjab,
Sep,2003,Punjab,
Oct,2003,Punjab,
Nov,2003,Punjab,
Dec,2003,Punjab,
Jan,2004,Punjab,
Feb,2004,Punjab,
Mar,2004,Punjab,
Apr,2004,Punjab,
May,2004,Punjab,
Jun,2004,Punjab,
Jul,2004,Punjab,
Aug,2004,Punjab,
Sep,2004,Punjab,
Oct,2004,Punjab,
Nov,2004,Punjab,
Dec,2004,Punjab,
Jan,2005,Punjab,
Feb,2005,Punjab,
Mar,2005,Punjab,
Apr,2005,Punjab,
May,2005,Punjab,
Jun,2005,Punjab,
Jul,2005,Punjab,Yes
Aug,2005,Punjab,
Sep,2005,Punjab,
Oct,2005,Punjab,
Nov,2005,Punjab,
Dec,2005,Punjab,
Jan,2006,Punjab,
Feb,2006,Punjab,
Mar,2006,Punjab,
Apr,2006,Punjab,
May,2006,Punjab,
Jun,2006,Punjab,
Jul,2006,Punjab,
Aug,2006,Punjab,Yes
Sep,2006,Punjab,
Oct,2006,Punjab,
Nov,2006,Punjab,
Dec,2006,Punjab,
Jan,2007,Punjab,
Feb,2007,Punjab,
Mar,2007,Punjab,
Apr,2007,Punjab,
May,2007,Punjab,
Jun,2007,Punjab,
Jul,2007,Punjab,
Aug,2007,Punjab,
Sep,2007,Punjab,
Oct,2007,Punjab,
Nov,2007,Punjab,
Dec,2007,Punjab,
Jan,2008,Punjab,
Feb,2008,Punjab,
Mar,2008,Punjab,
Apr,2008,Punjab,
May,2008,Punjab,
Jun,2008,Punjab,
Jul,2008,Punjab,
Aug,2008,Punjab,
Sep,2008,Punjab,
Oct,2008,Punjab,
Nov,2008,Punjab,
Dec,2008,Punjab,
Jan,2009,Punjab,
Feb,2009,Punjab,
Mar,2009,Punjab,
Apr,2009,Punjab,
May,2009,Punjab,
Jun,2009,Punjab,
Jul,2009,Punjab,
Aug,2009,Punjab,
Sep,2009,Punjab,
Oct,2009,Punjab,
Nov,2009,Punjab,
Dec,2009,Punjab,
Jan,2010,Punjab,
Feb,2010,Punjab,
Mar,2010,Punjab,
Apr,2010,Punjab,
May,2010,Punjab,
Jun,2010,Punjab,
Jul,2010,Punjab,Yes
Aug,2010,Punjab,Yes
Sep,2010,Punjab,
Oct,2010,Punjab,
