system:time_start,NDSI
"Jan 1, 2011",-0.136
"Jan 2, 2011",-0.108
"Jan 3, 2011",0.005
"Jan 4, 2011",0.006
"Jan 5, 2011",-0.062
"Jan 6, 2011",-0.048
"Jan 7, 2011",0.025
"Jan 8, 2011",0.016
"Jan 9, 2011",-0.088
"Jan 10, 2011",-0.079
"Jan 11, 2011",-0.285
"Jan 12, 2011",-0.214
"Jan 13, 2011",-0.229
"Jan 14, 2011",-0.063
"Jan 15, 2011",-0.278
"Jan 16, 2011",-0.072
"Jan 17, 2011",-0.081
"Jan 18, 2011",-0.341
"Jan 19, 2011",-0.293
"Jan 20, 2011",0.098
"Jan 21, 2011",-0.194
"Jan 22, 2011",-0.122
"Jan 23, 2011",-0.327
"Jan 24, 2011",-0.353
"Jan 25, 2011",-0.318
"Jan 26, 2011",-0.35
"Jan 27, 2011",-0.29
"Jan 28, 2011",-0.146
"Jan 29, 2011",0.317
"Jan 30, 2011",-0.302
"Jan 31, 2011",-0.368
"Feb 1, 2011",-0.292
"Feb 2, 2011",-0.226
"Feb 3, 2011",-0.068
"Feb 4, 2011",0.153
"Feb 5, 2011",-0.069
"Feb 6, 2011",0.059
"Feb 7, 2011",-0.188
"Feb 8, 2011",-0.352
"Feb 9, 2011",-0.336
"Feb 10, 2011",-0.257
"Feb 11, 2011",0.112
"Feb 12, 2011",0.275
"Feb 13, 2011",0.257
"Feb 14, 2011",-0.078
"Feb 15, 2011",-0.263
"Feb 16, 2011",-0.295
"Feb 17, 2011",-0.333
"Feb 18, 2011",0.125
"Feb 19, 2011",-0.219
"Feb 20, 2011",0.145
"Feb 21, 2011",-0.327
"Feb 22, 2011",0.003
"Feb 23, 2011",-0.017
"Feb 24, 2011",-0.091
"Feb 25, 2011",0.048
"Feb 26, 2011",-0.26
"Feb 27, 2011",-0.279
"Feb 28, 2011",0.252
"Mar 1, 2011",0.056
"Mar 2, 2011",0.293
"Mar 3, 2011",0.204
"Mar 4, 2011",-0.318
"Mar 5, 2011",-0.198
"Mar 6, 2011",-0.314
"Mar 7, 2011",-0.069
"Mar 8, 2011",-0.312
"Mar 9, 2011",-0.365
"Mar 10, 2011",-0.346
"Mar 11, 2011",-0.365
"Mar 12, 2011",-0.328
"Mar 13, 2011",-0.36
"Mar 14, 2011",-0.363
"Mar 15, 2011",-0.313
"Mar 16, 2011",-0.303
"Mar 17, 2011",0.057
"Mar 18, 2011",-0.08
"Mar 19, 2011",-0.218
"Mar 20, 2011",-0.331
"Mar 21, 2011",-0.276
"Mar 22, 2011",-0.335
"Mar 23, 2011",-0.345
"Mar 24, 2011",-0.325
"Mar 25, 2011",-0.356
"Mar 26, 2011",-0.279
"Mar 27, 2011",-0.322
"Mar 28, 2011",-0.078
"Mar 29, 2011",-0.305
"Mar 30, 2011",-0.336
"Mar 31, 2011",-0.238
"Apr 1, 2011",-0.337
"Apr 2, 2011",-0.22
"Apr 3, 2011",-0.349
"Apr 4, 2011",-0.238
"Apr 5, 2011",-0.282
"Apr 6, 2011",-0.005
"Apr 7, 2011",-0.189
"Apr 8, 2011",-0.119
"Apr 9, 2011",0.035
"Apr 10, 2011",0.077
"Apr 11, 2011",0.368
"Apr 12, 2011",-0.311
"Apr 13, 2011",-0.324
"Apr 14, 2011",-0.34
"Apr 15, 2011",-0.115
"Apr 16, 2011",0.062
"Apr 17, 2011",-0.249
"Apr 18, 2011",-0.254
"Apr 19, 2011",-0.351
"Apr 20, 2011",-0.351
"Apr 21, 2011",-0.358
"Apr 22, 2011",-0.353
"Apr 23, 2011",-0.358
"Apr 24, 2011",-0.365
"Apr 25, 2011",-0.355
"Apr 26, 2011",-0.366
"Apr 27, 2011",-0.327
"Apr 28, 2011",-0.31
"Apr 29, 2011",-0.142
"Apr 30, 2011",-0.264
"May 1, 2011",-0.349
"May 2, 2011",-0.35
"May 3, 2011",-0.357
"May 4, 2011",-0.321
"May 5, 2011",-0.293
"May 6, 2011",-0.108
"May 7, 2011",-0.346
"May 8, 2011",-0.347
"May 9, 2011",-0.343
"May 10, 2011",-0.347
"May 11, 2011",-0.287
"May 12, 2011",-0.303
"May 13, 2011",-0.229
"May 14, 2011",-0.351
"May 15, 2011",-0.329
"May 16, 2011",-0.325
"May 17, 2011",-0.331
"May 18, 2011",-0.317
"May 19, 2011",-0.325
"May 20, 2011",-0.26
"May 21, 2011",-0.286
"May 22, 2011",-0.192
"May 23, 2011",-0.297
"May 24, 2011",-0.289
"May 25, 2011",-0.163
"May 26, 2011",-0.169
"May 27, 2011",-0.215
"May 28, 2011",-0.302
"May 29, 2011",-0.265
"May 30, 2011",-0.312
"May 31, 2011",-0.299
"Jun 1, 2011",-0.177
"Jun 2, 2011",-0.274
"Jun 3, 2011",-0.246
"Jun 4, 2011",-0.297
"Jun 5, 2011",-0.215
"Jun 6, 2011",-0.274
"Jun 7, 2011",-0.272
"Jun 8, 2011",-0.308
"Jun 9, 2011",-0.292
"Jun 10, 2011",-0.274
"Jun 11, 2011",-0.294
"Jun 12, 2011",-0.201
"Jun 13, 2011",-0.265
"Jun 14, 2011",-0.263
"Jun 15, 2011",-0.287
"Jun 16, 2011",-0.265
"Jun 17, 2011",-0.242
"Jun 18, 2011",-0.079
"Jun 19, 2011",-0.189
"Jun 20, 2011",-0.039
"Jun 21, 2011",-0.219
"Jun 22, 2011",-0.297
"Jun 23, 2011",-0.142
"Jun 24, 2011",-0.25
"Jun 25, 2011",-0.223
"Jun 26, 2011",-0.057
