system:time_start,LST_Day_1km
"Jan 1, 2011",15.454
"Jan 2, 2011",18.497
"Jan 3, 2011",16.512
"Jan 4, 2011",16.815
"Jan 5, 2011",15.761
"Jan 6, 2011",15.642
"Jan 7, 2011",17.747
"Jan 8, 2011",19.363
"Jan 9, 2011",16.053
"Jan 10, 2011",15.477
"Jan 11, 2011",18.16
"Jan 12, 2011",20.062
"Jan 13, 2011",17.911
"Jan 14, 2011",21.729
"Jan 15, 2011",15.845
"Jan 16, 2011",18.911
"Jan 17, 2011",18.457
"Jan 18, 2011",19.861
"Jan 19, 2011",18.513
"Jan 20, 2011",17.31
"Jan 21, 2011",18.668
"Jan 22, 2011",17.411
"Jan 23, 2011",22.26
"Jan 24, 2011",19.732
"Jan 25, 2011",21.599
"Jan 26, 2011",20.96
"Jan 27, 2011",21.923
"Jan 28, 2011",22.728
"Jan 29, 2011",23.484
"Jan 30, 2011",21.019
"Jan 31, 2011",21.949
"Feb 1, 2011",24.044
"Feb 2, 2011",25.192
"Feb 3, 2011",27.063
"Feb 4, 2011",22.208
"Feb 5, 2011",22.651
"Feb 6, 2011",28.15
"Feb 7, 2011",23.285
"Feb 8, 2011",21.826
"Feb 9, 2011",21.319
"Feb 10, 2011",23.632
"Feb 11, 2011",26.088
"Feb 12, 2011",19.312
"Feb 13, 2011",15.643
"Feb 14, 2011",21.161
"Feb 15, 2011",20.197
"Feb 16, 2011",21.899
"Feb 17, 2011",23.133
"Feb 18, 2011",16.381
"Feb 19, 2011",22.783
"Feb 20, 2011",21.526
"Feb 21, 2011",21.804
"Feb 22, 2011",23.654
"Feb 23, 2011",23.396
"Feb 24, 2011",25.032
"Feb 25, 2011",25.862
"Feb 26, 2011",21.474
"Feb 27, 2011",20.055
"Feb 28, 2011",27.991
"Mar 1, 2011",16.971
"Mar 2, 2011",26.42
"Mar 3, 2011",25.456
"Mar 4, 2011",22.866
"Mar 5, 2011",22.659
"Mar 6, 2011",22.518
"Mar 7, 2011",25.104
"Mar 8, 2011",26.087
"Mar 9, 2011",29.19
"Mar 10, 2011",29.61
"Mar 11, 2011",30.129
