system:time_start,NDVI
"Jan 1, 2011","3,294.132"
"Jan 17, 2011","3,633.674"
"Feb 2, 2011","4,319.162"
"Feb 18, 2011","4,559.134"
"Mar 6, 2011","4,484.685"
"Mar 22, 2011","3,947.964"
"Apr 7, 2011","3,035.809"
"Apr 23, 2011","2,356.378"
"May 9, 2011","2,045.812"
"May 25, 2011","1,911.177"
"Jun 10, 2011","1,956.06"
"Jun 26, 2011","2,514.725"
"Jul 12, 2011","2,880.557"
"Jul 28, 2011","3,404.004"
"Aug 13, 2011","4,045.298"
"Aug 29, 2011","4,571.528"
"Sep 14, 2011","4,347.697"
"Sep 30, 2011","3,931.47"
"Oct 16, 2011","3,500.854"
"Nov 1, 2011","3,152.92"
"Nov 17, 2011","3,017.692"
"Dec 3, 2011","2,936.41"
"Dec 19, 2011","2,828.172"
"Jan 1, 2012","3,136.63"
"Jan 17, 2012","3,509.743"
"Feb 2, 2012","3,727.001"
"Feb 18, 2012","3,816.321"
"Mar 5, 2012","3,899.901"
"Mar 21, 2012","3,145.596"
"Apr 6, 2012","2,847.506"
"Apr 22, 2012","2,324.078"
"May 8, 2012","2,024.364"
"May 24, 2012","1,875.416"
"Jun 9, 2012","1,892.95"
"Jun 25, 2012","2,055.659"
"Jul 11, 2012","2,579.184"
"Jul 27, 2012","2,997.369"
"Aug 12, 2012","3,795.551"
"Aug 28, 2012","4,297.04"
"Sep 13, 2012","4,331.634"
"Sep 29, 2012","3,949.373"
"Oct 15, 2012","3,560.472"
"Oct 31, 2012","3,204.222"
"Nov 16, 2012","2,932.634"
"Dec 2, 2012","2,821.671"
"Dec 18, 2012","3,076.763"
"Jan 1, 2013","3,257.019"
"Jan 17, 2013","3,689.565"
"Feb 2, 2013","4,393.529"
"Feb 18, 2013","4,665.398"
"Mar 6, 2013","4,633.867"
"Mar 22, 2013","4,381.214"
"Apr 7, 2013","2,945.77"
"Apr 23, 2013","2,492.083"
"May 9, 2013","2,175.313"
"May 25, 2013","2,047.526"
"Jun 10, 2013","2,340.279"
"Jun 26, 2013","2,499.331"
"Jul 12, 2013","2,871.469"
"Jul 28, 2013","3,510.219"
"Aug 13, 2013","4,066.689"
"Aug 29, 2013","4,017.159"
"Sep 14, 2013","3,870.511"
"Sep 30, 2013","3,624.203"
"Oct 16, 2013","3,364.191"
"Nov 1, 2013","2,951.353"
"Nov 17, 2013","2,770.535"
"Dec 3, 2013","2,806.121"
"Dec 19, 2013","3,303.533"
"Jan 1, 2014","3,376.643"
"Jan 17, 2014","4,004.875"
"Feb 2, 2014","4,587.281"
"Feb 18, 2014","4,490.614"
"Mar 6, 2014","4,405.344"
"Mar 22, 2014","4,056.75"
"Apr 7, 2014","3,139.898"
"Apr 23, 2014","2,535.761"
"May 9, 2014","2,313.603"
"May 25, 2014","2,138.189"
"Jun 10, 2014","2,015.368"
"Jun 26, 2014","2,318.481"
"Jul 12, 2014","2,591.664"
"Jul 28, 2014","3,413.253"
"Aug 13, 2014","3,670.972"
"Aug 29, 2014","4,048.394"
"Sep 14, 2014","3,965.612"
"Sep 30, 2014","3,633.916"
"Oct 16, 2014","3,370.354"
"Nov 1, 2014","3,017.093"
"Nov 17, 2014","2,699.148"
"Dec 3, 2014","2,616.999"
"Dec 19, 2014","2,996.313"
"Jan 1, 2015","3,247.073"
"Jan 17, 2015","3,854.265"
"Feb 2, 2015","4,388.577"
"Feb 18, 2015","4,658.646"
"Mar 6, 2015","4,607.07"
"Mar 22, 2015","4,124.318"
