system:time_start,NDVI
"Feb 18, 2000","3,844.025"
"Mar 5, 2000","3,788.449"
"Mar 21, 2000","3,532.952"
"Apr 6, 2000","2,666.515"
"Apr 22, 2000","1,903.809"
"May 8, 2000","1,607.524"
"May 24, 2000","1,503.985"
"Jun 9, 2000","1,535.675"
"Jun 25, 2000","1,736.494"
"Jul 11, 2000","2,347.596"
"Jul 27, 2000","2,779.274"
"Aug 12, 2000","3,294.064"
"Aug 28, 2000","3,284.638"
"Sep 13, 2000","3,302.056"
"Sep 29, 2000","3,036.994"
"Oct 15, 2000","2,681.469"
"Oct 31, 2000","2,467.024"
"Nov 16, 2000","2,340.852"
"Dec 2, 2000","2,242.94"
"Dec 18, 2000","2,476.805"
"Jan 1, 2001","2,788.628"
"Jan 17, 2001","3,233.938"
"Feb 2, 2001","3,354.617"
"Feb 18, 2001","3,773.624"
"Mar 6, 2001","3,736.051"
"Mar 22, 2001","3,340.957"
"Apr 7, 2001","2,543.785"
"Apr 23, 2001","1,899.883"
"May 9, 2001","1,575.192"
"May 25, 2001","1,486.473"
"Jun 10, 2001","1,597.542"
"Jun 26, 2001","2,364.991"
"Jul 12, 2001","2,558.651"
"Jul 28, 2001","3,066.147"
"Aug 13, 2001","3,519.969"
"Aug 29, 2001","3,411.977"
"Sep 14, 2001","3,450.935"
"Sep 30, 2001","3,272.005"
"Oct 16, 2001","2,758.969"
"Nov 1, 2001","2,546.268"
"Nov 17, 2001","2,415.155"
"Dec 3, 2001","2,378.671"
"Dec 19, 2001","2,607.886"
"Jan 1, 2002","2,993.052"
"Jan 17, 2002","3,297.036"
"Feb 2, 2002","3,474.666"
"Feb 18, 2002","3,885.042"
"Mar 6, 2002","3,901.85"
"Mar 22, 2002","3,367.876"
"Apr 7, 2002","2,449.881"
"Apr 23, 2002","1,853.906"
"May 9, 2002","1,635.092"
"May 25, 2002","1,507.55"
"Jun 10, 2002","1,637.549"
"Jun 26, 2002","1,859.918"
"Jul 12, 2002","1,993.157"
"Jul 28, 2002","2,309.988"
"Aug 13, 2002","2,847.104"
"Aug 29, 2002","3,317.016"
"Sep 14, 2002","3,427.782"
"Sep 30, 2002","3,154.002"
"Oct 16, 2002","2,833.323"
"Nov 1, 2002","2,642.072"
"Nov 17, 2002","2,549.875"
"Dec 3, 2002","2,333.325"
"Dec 19, 2002","2,793.966"
"Jan 1, 2003","2,721.875"
"Jan 17, 2003","3,356.908"
"Feb 2, 2003","3,865.997"
"Feb 18, 2003","4,079.641"
"Mar 6, 2003","3,912.154"
"Mar 22, 2003","3,549.424"
"Apr 7, 2003","2,403.137"
"Apr 23, 2003","2,045.795"
"May 9, 2003","1,724.127"
"May 25, 2003","1,656.527"
"Jun 10, 2003","1,635.741"
"Jun 26, 2003","1,914.137"
"Jul 12, 2003","2,701.877"
"Jul 28, 2003","3,233.537"
"Aug 13, 2003","3,567.836"
"Aug 29, 2003","3,906.834"
"Sep 14, 2003","3,656.779"
"Sep 30, 2003","3,365.875"
"Oct 16, 2003","2,956.634"
"Nov 1, 2003","2,582.647"
"Nov 17, 2003","2,499.973"
"Dec 3, 2003","2,437.653"
"Dec 19, 2003","2,937.915"
"Jan 1, 2004","3,160.215"
"Jan 17, 2004","3,980.933"
"Feb 2, 2004","4,186.015"
"Feb 18, 2004","4,342.47"
"Mar 5, 2004","4,243.897"
"Mar 21, 2004","3,168.248"
"Apr 6, 2004","2,430.868"
"Apr 22, 2004","1,981.585"
"May 8, 2004","1,730.071"
"May 24, 2004","1,625.792"
"Jun 9, 2004","1,800.104"
"Jun 25, 2004","2,056.034"
"Jul 11, 2004","2,368.78"
"Jul 27, 2004","2,994.656"
"Aug 12, 2004","3,498.173"
"Aug 28, 2004","3,542.728"
"Sep 13, 2004","3,408.767"
"Sep 29, 2004","3,347.006"
"Oct 15, 2004","2,874.291"
"Oct 31, 2004","2,620.213"
"Nov 16, 2004","2,339.651"
"Dec 2, 2004","2,489.025"
"Dec 18, 2004","2,953.44"
"Jan 1, 2005","3,258.073"
"Jan 17, 2005","3,821.972"
"Feb 2, 2005","4,440.964"
"Feb 18, 2005","4,529.917"
"Mar 6, 2005","4,783.336"
"Mar 22, 2005","4,397.215"
"Apr 7, 2005","2,761.939"
"Apr 23, 2005","2,327.872"
"May 9, 2005","2,025.652"
"May 25, 2005","1,847.574"
"Jun 10, 2005","1,794.153"
"Jun 26, 2005","1,984.217"
"Jul 12, 2005","2,580.493"
"Jul 28, 2005","3,079.298"
"Aug 13, 2005","3,222.813"
"Aug 29, 2005","3,450.69"
"Sep 14, 2005","3,879.017"
"Sep 30, 2005","3,507.435"
"Oct 16, 2005","3,078.53"
"Nov 1, 2005","2,629.867"
"Nov 17, 2005","2,484.866"
"Dec 3, 2005","2,296.577"
"Dec 19, 2005","2,563.155"
"Jan 1, 2006","2,708.239"
"Jan 17, 2006","3,224.925"
"Feb 2, 2006","3,796.785"
"Feb 18, 2006","4,204.915"
"Mar 6, 2006","4,138.5"
"Mar 22, 2006","3,469.323"
"Apr 7, 2006","2,551.111"
"Apr 23, 2006","1,925.874"
"May 9, 2006","1,663.457"
"May 25, 2006","1,673.7"
"Jun 10, 2006","1,791.487"
"Jun 26, 2006","2,052.055"
"Jul 12, 2006","2,317.831"
"Jul 28, 2006","3,181.038"
"Aug 13, 2006","3,605.167"
"Aug 29, 2006","3,841.953"
"Sep 14, 2006","3,644.163"
"Sep 30, 2006","3,400.283"
"Oct 16, 2006","3,147.514"
"Nov 1, 2006","2,787.714"
"Nov 17, 2006","2,945.421"
"Dec 3, 2006","2,923.1"
"Dec 19, 2006","3,173.7"
"Jan 1, 2007","3,357.615"
"Jan 17, 2007","3,699.51"
"Feb 2, 2007","4,403.022"
"Feb 18, 2007","4,618.872"
"Mar 6, 2007","4,531.777"
"Mar 22, 2007","4,421.988"
"Apr 7, 2007","3,139.748"
"Apr 23, 2007","2,360.946"
"May 9, 2007","1,963.934"
"May 25, 2007","1,907.431"
"Jun 10, 2007","2,019.225"
"Jun 26, 2007","2,842.755"
"Jul 12, 2007","2,958.238"
"Jul 28, 2007","3,322.9"
"Aug 13, 2007","3,624.224"
"Aug 29, 2007","3,871.751"
"Sep 14, 2007","3,740.895"
"Sep 30, 2007","3,453.103"
"Oct 16, 2007","3,086.085"
"Nov 1, 2007","2,823.471"
"Nov 17, 2007","2,595.283"
"Dec 3, 2007","2,731.823"
"Dec 19, 2007","2,868.393"
"Jan 1, 2008","3,121.117"
"Jan 17, 2008","3,479.978"
"Feb 2, 2008","3,609.283"
"Feb 18, 2008","3,756.273"
"Mar 5, 2008","3,962.936"
"Mar 21, 2008","3,609.034"
"Apr 6, 2008","2,749.988"
"Apr 22, 2008","2,273.595"
"May 8, 2008","1,983.547"
"May 24, 2008","1,943.268"
"Jun 9, 2008","2,009.539"
"Jun 25, 2008","2,175.584"
"Jul 11, 2008","2,693.523"
"Jul 27, 2008","3,103.84"
"Aug 12, 2008","3,839.411"
"Aug 28, 2008","4,000.565"
"Sep 13, 2008","3,895.146"
"Sep 29, 2008","3,432.393"
"Oct 15, 2008","3,045.378"
"Oct 31, 2008","2,726.802"
"Nov 16, 2008","2,464.343"
"Dec 2, 2008","2,430.392"
"Dec 18, 2008","3,291.526"
"Jan 1, 2009","3,574.144"
"Jan 17, 2009","4,223.359"
"Feb 2, 2009","4,501.461"
"Feb 18, 2009","4,443.796"
"Mar 6, 2009","4,209.265"
"Mar 22, 2009","3,445.174"
"Apr 7, 2009","2,695.804"
"Apr 23, 2009","2,140.526"
"May 9, 2009","1,929.118"
"May 25, 2009","1,828.046"
"Jun 10, 2009","1,926.641"
"Jun 26, 2009","2,083.253"
"Jul 12, 2009","2,549.083"
"Jul 28, 2009","2,821.421"
"Aug 13, 2009","3,420.996"
"Aug 29, 2009","3,923.992"
"Sep 14, 2009","3,640.568"
"Sep 30, 2009","3,443.436"
