Months,Years,Area,Flood,,,,,,,,,,,,,
Janruary,2000,Sindh,,,,,,,,,,,,,,
February,2000,Sindh,,,,,,,,,,,,,,
March,2000,Sindh,,,,,,,,,,,,,,
April,2000,Sindh,,,,,,,,,,,,,, 
May,2000,Sindh,,,,,,,,,,,,,,
June,2000,Sindh,,,,,,,,,,,,,,
July,2000,Sindh,,,,,,,,,,,,,,
August,2000,Sindh,,,,,,,,,,,,,,
September,2000,Sindh,,,,,,,,,,,,,,
October,2000,Sindh,,,,,,,,,,,,,,
November,2000,Sindh,,,,,,,,,,,,,,
December,2000,Sindh,,,,,,,,,,,,,,
Janruary,2001,Sindh,,,,,,,,,,,,,,
February,2001,Sindh,,,,,,,,,,,,,,
March,2001,Sindh,,,,,,,,,,,,,,
April,2001,Sindh,,,,,,,,,,,,,,
May,2001,Sindh,,,,,,,,,,,,,,
June,2001,Sindh,,,,,,,,,,,,,,
July,2001,Sindh,,,,,,,,,,,,,,
August,2001,Sindh,,,,,,,,,,,,,,
September,2001,Sindh,,,,,,,,,,,,,,
October,2001,Sindh,,,,,,,,,,,,,,
November,2001,Sindh,,,,,,,,,,,,,,
December,2001,Sindh,,,,,,,,,,,,,,
Janruary,2002,Sindh,,,,,,,,,,,,,,
February,2002,Sindh,,,,,,,,,,,,,,
March,2002,Sindh,,,,,,,,,,,,,,
April,2002,Sindh,,,,,,,,,,,,,,
May,2002,Sindh,,,,,,,,,,,,,,
June,2002,Sindh,,,,,,,,,,,,,,
July,2002,Sindh,,,,,,,,,,,,,,
August,2002,Sindh,,,,,,,,,,,,,,
September,2002,Sindh,,,,,,,,,,,,,,
October,2002,Sindh,,,,,,,,,,,,,,
November,2002,Sindh,,,,,,,,,,,,,,
December,2002,Sindh,,,,,,,,,,,,,,
Janruary,2003,Sindh,,,,,,,,,,,,,,
February,2003,Sindh,,,,,,,,,,,,,,
March,2003,Sindh,,,,,,,,,,,,,,
April,2003,Sindh,,,,,,,,,,,,,,
May,2003,Sindh,,,,,,,,,,,,,,
June,2003,Sindh,,,,,,,,,,,,,,
July,2003,Sindh,,,,,,,,,,,,,,
August,2003,Sindh,Yes,,,,,,,,,,,,,
September,2003,Sindh,,,,,,,,,,,,,,
October,2003,Sindh,,,,,,,,,,,,,,
November,2003,Sindh,,,,,,,,,,,,,,
December,2003,Sindh,,,,,,,,,,,,,,
Janruary,2004,Sindh,,,,,,,,,,,,,,
February,2004,Sindh,,,,,,,,,,,,,,
March,2004,Sindh,,,,,,,,,,,,,,
April,2004,Sindh,,,,,,,,,,,,,,
May,2004,Sindh,,,,,,,,,,,,,,
June,2004,Sindh,,,,,,,,,,,,,,
July,2004,Sindh,,,,,,,,,,,,,,
August,2004,Sindh,,,,,,,,,,,,,,
September,2004,Sindh,,,,,,,,,,,,,,
October,2004,Sindh,,,,,,,,,,,,,,
November,2004,Sindh,,,,,,,,,,,,,,
December,2004,Sindh,,,,,,,,,,,,,,
Janruary,2005,Sindh,,,,,,,,,,,,,,
February,2005,Sindh,,,,,,,,,,,,,,
March,2005,Sindh,,,,,,,,,,,,,,
April,2005,Sindh,,,,,,,,,,,,,,
May,2005,Sindh,,,,,,,,,,,,,,
June,2005,Sindh,,,,,,,,,,,,,,
July,2005,Sindh,,,,,,,,,,,,,,
August,2005,Sindh,Yes,,,,,,,,,,,,,
September,2005,Sindh,,,,,,,,,,,,,,
October,2005,Sindh,,,,,,,,,,,,,,
November,2005,Sindh,,,,,,,,,,,,,,
December,2005,Sindh,,,,,,,,,,,,,,
Janruary,2006,Sindh,,,,,,,,,,,,,,
February,2006,Sindh,,,,,,,,,,,,,,
March,2006,Sindh,,,,,,,,,,,,,,
April,2006,Sindh,,,,,,,,,,,,,,
May,2006,Sindh,,,,,,,,,,,,,,
June,2006,Sindh,,,,,,,,,,,,,,
July,2006,Sindh,,,,,,,,,,,,,,
August,2006,Sindh,,,,,,,,,,,,,,
September,2006,Sindh,Yes,,,,,,,,,,,,,
October,2006,Sindh,,,,,,,,,,,,,,
November,2006,Sindh,,,,,,,,,,,,,,
December,2006,Sindh,,,,,,,,,,,,,,
Janruary,2007,Sindh,,,,,,,,,,,,,,
February,2007,Sindh,,,,,,,,,,,,,,
March,2007,Sindh,,,,,,,,,,,,,,
April,2007,Sindh,,,,,,,,,,,,,,
May,2007,Sindh,,,,,,,,,,,,,,
June,2007,Sindh,,,,,,,,,,,,,,
July,2007,Sindh,Yes,,,,,,,,,,,,,
August,2007,Sindh,,,,,,,,,,,,,,
September,2007,Sindh,,,,,,,,,,,,,,
October,2007,Sindh,,,,,,,,,,,,,,
November,2007,Sindh,,,,,,,,,,,,,,
December,2007,Sindh,,,,,,,,,,,,,,
Janruary,2008,Sindh,,,,,,,,,,,,,,
February,2008,Sindh,,,,,,,,,,,,,,
March,2008,Sindh,,,,,,,,,,,,,,
April,2008,Sindh,,,,,,,,,,,,,,
May,2008,Sindh,,,,,,,,,,,,,,
June,2008,Sindh,,,,,,,,,,,,,,
July,2008,Sindh,,,,,,,,,,,,,,
August,2008,Sindh,,,,,,,,,,,,,,
September,2008,Sindh,,,,,,,,,,,,,,
October,2008,Sindh,,,,,,,,,,,,,,
November,2008,Sindh,,,,,,,,,,,,,,
December,2008,Sindh,,,,,,,,,,,,,,
Janruary,2009,Sindh,,,,,,,,,,,,,,
February,2009,Sindh,,,,,,,,,,,,,,
March,2009,Sindh,,,,,,,,,,,,,,
April,2009,Sindh,,,,,,,,,,,,,,
May,2009,Sindh,,,,,,,,,,,,,,
June,2009,Sindh,,,,,,,,,,,,,,
July,2009,Sindh,Yes,,,,,,,,,,,,,
August,2009,Sindh,Yes,,,,,,,,,,,,,
September,2009,Sindh,,,,,,,,,,,,,,
October,2009,Sindh,,,,,,,,,,,,,,
November,2009,Sindh,,,,,,,,,,,,,,
December,2009,Sindh,,,,,,,,,,,,,,
Janruary,2010,Sindh,,,,,,,,,,,,,,
February,2010,Sindh,,,,,,,,,,,,,,
March,2010,Sindh,,,,,,,,,,,,,,
April,2010,Sindh,,,,,,,,,,,,,,
May,2010,Sindh,,,,,,,,,,,,,,
