system:time_start,NDSI
"Jan 1, 2011",-0.292
"Jan 2, 2011",-0.299
"Jan 3, 2011",-0.233
"Jan 4, 2011",-0.256
"Jan 5, 2011",-0.2
"Jan 6, 2011",-0.196
"Jan 7, 2011",-0.182
"Jan 8, 2011",-0.178
"Jan 9, 2011",-0.231
"Jan 10, 2011",-0.26
"Jan 11, 2011",-0.278
"Jan 12, 2011",-0.203
"Jan 13, 2011",-0.281
"Jan 14, 2011",-0.278
"Jan 15, 2011",-0.296
"Jan 16, 2011",-0.263
"Jan 17, 2011",-0.297
"Jan 18, 2011",-0.259
"Jan 19, 2011",-0.152
"Jan 20, 2011",-0.211
"Jan 21, 2011",-0.15
"Jan 22, 2011",-0.104
"Jan 23, 2011",-0.229
"Jan 24, 2011",-0.319
"Jan 25, 2011",-0.312
"Jan 26, 2011",-0.325
"Jan 27, 2011",-0.314
"Jan 28, 2011",-0.289
"Jan 29, 2011",-0.104
"Jan 30, 2011",-0.281
"Jan 31, 2011",-0.321
"Feb 1, 2011",-0.302
"Feb 2, 2011",-0.32
"Feb 3, 2011",-0.308
"Feb 4, 2011",-0.251
"Feb 5, 2011",-0.28
"Feb 6, 2011",-0.206
"Feb 7, 2011",-0.282
"Feb 8, 2011",-0.308
"Feb 9, 2011",-0.315
"Feb 10, 2011",-0.252
"Feb 11, 2011",-0.272
"Feb 12, 2011",-0.226
"Feb 13, 2011",0.158
"Feb 14, 2011",-0.076
"Feb 15, 2011",-0.118
"Feb 16, 2011",-0.301
"Feb 17, 2011",-0.282
"Feb 18, 2011",-0.158
"Feb 19, 2011",-0.193
"Feb 20, 2011",-0.248
"Feb 21, 2011",-0.305
"Feb 22, 2011",-0.271
"Feb 23, 2011",-0.301
"Feb 24, 2011",-0.287
"Feb 25, 2011",-0.181
"Feb 26, 2011",-0.307
"Feb 27, 2011",-0.229
"Feb 28, 2011",-0.253
"Mar 1, 2011",-0.025
"Mar 2, 2011",0.045
"Mar 3, 2011",-0.039
"Mar 4, 2011",-0.253
"Mar 5, 2011",-0.255
"Mar 6, 2011",-0.24
"Mar 7, 2011",-0.29
"Mar 8, 2011",-0.282
"Mar 9, 2011",-0.305
"Mar 10, 2011",-0.311
"Mar 11, 2011",-0.311
"Mar 12, 2011",-0.307
"Mar 13, 2011",-0.309
"Mar 14, 2011",-0.319
"Mar 15, 2011",-0.313
"Mar 16, 2011",-0.313
"Mar 17, 2011",-0.27
"Mar 18, 2011",-0.251
"Mar 19, 2011",-0.187
"Mar 20, 2011",-0.253
"Mar 21, 2011",-0.285
"Mar 22, 2011",-0.288
"Mar 23, 2011",-0.303
"Mar 24, 2011",-0.286
"Mar 25, 2011",-0.306
"Mar 26, 2011",-0.3
"Mar 27, 2011",-0.302
"Mar 28, 2011",-0.278
"Mar 29, 2011",-0.25
"Mar 30, 2011",-0.297
"Mar 31, 2011",-0.273
"Apr 1, 2011",-0.304
"Apr 2, 2011",-0.296
"Apr 3, 2011",-0.305
"Apr 4, 2011",-0.305
"Apr 5, 2011",-0.295
"Apr 6, 2011",-0.217
"Apr 7, 2011",-0.106
"Apr 8, 2011",-0.282
"Apr 9, 2011",-0.116
"Apr 10, 2011",-0.105
"Apr 11, 2011",0.184
"Apr 12, 2011",-0.178
"Apr 13, 2011",-0.307
"Apr 14, 2011",-0.268
"Apr 15, 2011",-0.327
"Apr 16, 2011",-0.095
"Apr 17, 2011",-0.288
"Apr 18, 2011",-0.267
"Apr 19, 2011",-0.284
"Apr 20, 2011",-0.291
"Apr 21, 2011",-0.3
"Apr 22, 2011",-0.321
"Apr 23, 2011",-0.304
"Apr 24, 2011",-0.313
"Apr 25, 2011",-0.292
"Apr 26, 2011",-0.302
"Apr 27, 2011",-0.287
"Apr 28, 2011",-0.228
"Apr 29, 2011",-0.301
"Apr 30, 2011",-0.287
"May 1, 2011",-0.31
"May 2, 2011",-0.295
"May 3, 2011",-0.291
"May 4, 2011",-0.257
"May 5, 2011",-0.28
"May 6, 2011",-0.238
"May 7, 2011",-0.273
"May 8, 2011",-0.305
"May 9, 2011",-0.268
"May 10, 2011",-0.297
"May 11, 2011",-0.22
"May 12, 2011",-0.281
"May 13, 2011",-0.264
"May 14, 2011",-0.274
"May 15, 2011",-0.284
"May 16, 2011",-0.266
"May 17, 2011",-0.289
"May 18, 2011",-0.282
"May 19, 2011",-0.269
"May 20, 2011",-0.173
"May 21, 2011",-0.253
"May 22, 2011",-0.271
"May 23, 2011",-0.266
"May 24, 2011",-0.278
"May 25, 2011",-0.217
"May 26, 2011",-0.275
"May 27, 2011",-0.241
"May 28, 2011",-0.271
"May 29, 2011",-0.271
"May 30, 2011",-0.268
"May 31, 2011",-0.259
"Jun 1, 2011",-0.149
"Jun 2, 2011",-0.17
"Jun 3, 2011",-0.141
"Jun 4, 2011",-0.256
"Jun 5, 2011",-0.211
"Jun 6, 2011",-0.268
"Jun 7, 2011",-0.268
"Jun 8, 2011",-0.271
"Jun 9, 2011",-0.284
"Jun 10, 2011",-0.251
"Jun 11, 2011",-0.262
"Jun 12, 2011",-0.22
"Jun 13, 2011",-0.237
"Jun 14, 2011",-0.232
"Jun 15, 2011",-0.223
"Jun 16, 2011",-0.179
"Jun 17, 2011",-0.151
"Jun 18, 2011",-0.179
"Jun 19, 2011",-0.129
"Jun 20, 2011",-0.237
"Jun 21, 2011",-0.184
"Jun 22, 2011",-0.234
"Jun 23, 2011",-0.15
"Jun 24, 2011",-0.129
"Jun 25, 2011",-0.088
"Jun 26, 2011",-0.016
"Jun 27, 2011",-0.121
"Jun 28, 2011",-0.066
"Jun 29, 2011",-0.09
"Jun 30, 2011",-0.056
"Jul 1, 2011",-0.109
"Jul 2, 2011",-0.129
"Jul 3, 2011",-0.107
"Jul 4, 2011",-0.153
"Jul 5, 2011",-0.137
"Jul 6, 2011",-0.163
"Jul 7, 2011",-0.148
"Jul 8, 2011",-0.203
"Jul 9, 2011",0.009
"Jul 10, 2011",-0.106
"Jul 11, 2011",-0.163
"Jul 12, 2011",-0.159
"Jul 13, 2011",-0.219
"Jul 14, 2011",-0.094
"Jul 15, 2011",-0.189
"Jul 16, 2011",-0.152
"Jul 17, 2011",-0.201
"Jul 18, 2011",-0.174
"Jul 19, 2011",-0.109
"Jul 20, 2011",-0.212
"Jul 21, 2011",-0.123
"Jul 22, 2011",-0.185
"Jul 23, 2011",-0.116
"Jul 24, 2011",-0.077
"Jul 25, 2011",-0.08
"Jul 26, 2011",-0.064
"Jul 27, 2011",-0.161
"Jul 28, 2011",-0.081
"Jul 29, 2011",-0.145
"Jul 30, 2011",-0.14
"Jul 31, 2011",-0.179
"Aug 1, 2011",-0.133
"Aug 2, 2011",-0.192
"Aug 3, 2011",-0.188
"Aug 4, 2011",-0.221
"Aug 5, 2011",-0.184
"Aug 6, 2011",-0.082
"Aug 7, 2011",-0.182
"Aug 8, 2011",-0.061
"Aug 9, 2011",-0.042
"Aug 10, 2011",0.358
"Aug 11, 2011",0.113
"Aug 12, 2011",0.285
"Aug 13, 2011",-0.002
"Aug 14, 2011",0.131
"Aug 15, 2011",-0.053
"Aug 16, 2011",-0.164
"Aug 17, 2011",-0.138
"Aug 18, 2011",-0.181
"Aug 19, 2011",-0.209
"Aug 20, 2011",-0.22
"Aug 21, 2011",-0.079
"Aug 22, 2011",-0.188
"Aug 23, 2011",-0.235
"Aug 24, 2011",0.033
"Aug 25, 2011",0.126
"Aug 26, 2011",-0.099
"Aug 27, 2011",-0.221
"Aug 28, 2011",-0.057
"Aug 29, 2011",-0.159
"Aug 30, 2011",0.153
"Aug 31, 2011",0.277
"Sep 1, 2011",0.015
"Sep 2, 2011",0.237
"Sep 3, 2011",-0.179
"Sep 4, 2011",-0.08
"Sep 5, 2011",0.018
"Sep 6, 2011",0.171
"Sep 7, 2011",0.201
"Sep 8, 2011",0.35
"Sep 9, 2011",0.089
"Sep 10, 2011",0.162
"Sep 11, 2011",-0.096
"Sep 12, 2011",0.222
