system:time_start,LST_Day_1km
"Jan 1, 2011",25.543
"Jan 2, 2011",26.018
"Jan 3, 2011",23.665
"Jan 4, 2011",24.42
"Jan 5, 2011",24.502
"Jan 6, 2011",23.627
"Jan 7, 2011",23.579
"Jan 8, 2011",26.055
"Jan 9, 2011",24.535
"Jan 10, 2011",25.603
"Jan 11, 2011",25.879
"Jan 12, 2011",27.324
"Jan 13, 2011",27.104
"Jan 14, 2011",25.621
"Jan 15, 2011",23.196
"Jan 16, 2011",25.966
"Jan 17, 2011",26.373
"Jan 18, 2011",25.167
"Jan 19, 2011",24.098
"Jan 20, 2011",28.069
"Jan 21, 2011",28.278
"Jan 22, 2011",30.216
"Jan 23, 2011",28.649
"Jan 24, 2011",28.758
"Jan 25, 2011",29.21
"Jan 26, 2011",27.157
"Jan 27, 2011",27.075
"Jan 28, 2011",28.355
"Jan 29, 2011",29.866
"Jan 30, 2011",26.03
"Jan 31, 2011",26.218
"Feb 1, 2011",29.262
"Feb 2, 2011",29.506
"Feb 3, 2011",31.897
"Feb 4, 2011",29.707
"Feb 5, 2011",29.381
"Feb 6, 2011",29.658
"Feb 7, 2011",29.009
"Feb 8, 2011",30.844
"Feb 9, 2011",29.087
"Feb 10, 2011",30.757
"Feb 11, 2011",30.8
"Feb 12, 2011",31.859
"Feb 13, 2011",25.083
"Feb 14, 2011",23.38
"Feb 15, 2011",27.421
"Feb 16, 2011",27.683
"Feb 17, 2011",30.928
"Feb 18, 2011",30.403
"Feb 19, 2011",28.447
"Feb 20, 2011",27.023
"Feb 21, 2011",29.383
"Feb 22, 2011",31.524
"Feb 23, 2011",31.363
"Feb 24, 2011",33.264
"Feb 25, 2011",32.593
"Feb 26, 2011",31.8
"Feb 27, 2011",30.979
"Feb 28, 2011",33.036
"Mar 1, 2011",30.661
"Mar 2, 2011",34.102
"Mar 3, 2011",35.558
"Mar 4, 2011",31.821
"Mar 5, 2011",33.03
"Mar 6, 2011",34.455
"Mar 7, 2011",35.208
"Mar 8, 2011",33.244
"Mar 9, 2011",37.685
"Mar 10, 2011",37.69
"Mar 11, 2011",37.48
"Mar 12, 2011",39.985
"Mar 13, 2011",38.325
"Mar 14, 2011",43.034
"Mar 15, 2011",39.539
"Mar 16, 2011",43.898
"Mar 17, 2011",41.614
"Mar 18, 2011",40.474
"Mar 19, 2011",39.043
"Mar 20, 2011",36.331
"Mar 21, 2011",40.272
"Mar 22, 2011",34.939
"Mar 23, 2011",40.64
"Mar 24, 2011",38.398
"Mar 25, 2011",43.958
"Mar 26, 2011",43.187
"Mar 27, 2011",43.424
"Mar 28, 2011",40.274
"Mar 29, 2011",34.904
"Mar 30, 2011",40.008
"Mar 31, 2011",35.044
"Apr 1, 2011",42.421
"Apr 2, 2011",40.406
"Apr 3, 2011",43.249
"Apr 4, 2011",45.089
"Apr 5, 2011",41.741
"Apr 6, 2011",40.422
"Apr 7, 2011",36.606
"Apr 8, 2011",42.328
"Apr 9, 2011",39.014
"Apr 10, 2011",37.641
"Apr 11, 2011",42.552
"Apr 12, 2011",39.775
"Apr 13, 2011",43.739
"Apr 14, 2011",42.718
"Apr 15, 2011",46.475
"Apr 16, 2011",39.733
"Apr 17, 2011",43.727
"Apr 18, 2011",43.057
"Apr 19, 2011",44.936
"Apr 20, 2011",46.304
"Apr 21, 2011",47.137
"Apr 22, 2011",51.515
"Apr 23, 2011",46.675
"Apr 24, 2011",50.344
"Apr 25, 2011",44.978
"Apr 26, 2011",48.988
"Apr 27, 2011",45.859
"Apr 28, 2011",42.9
"Apr 29, 2011",44.484
"Apr 30, 2011",42.652
"May 1, 2011",47.287
"May 2, 2011",41.722
"May 3, 2011",47.045
"May 4, 2011",40.425
"May 5, 2011",46.735
"May 6, 2011",41.23
"May 7, 2011",45.56
"May 8, 2011",49.993
"May 9, 2011",41.795
"May 10, 2011",48.758
"May 11, 2011",38.628
"May 12, 2011",49.393
"May 13, 2011",43.67
"May 14, 2011",45.692
"May 15, 2011",45.866
"May 16, 2011",42.186
"May 17, 2011",49.598
"May 18, 2011",42.4
"May 19, 2011",45.14
"May 20, 2011",42.146
"May 21, 2011",45.309
"May 22, 2011",44.52
"May 23, 2011",42.331
"May 24, 2011",44.335
"May 25, 2011",38.063
