system:time_start,NDVI
"Jan 1, 2011","2,279.345"
"Jan 17, 2011","2,341.867"
"Feb 2, 2011","2,531.181"
"Feb 18, 2011","2,665.1"
"Mar 6, 2011","2,473.18"
"Mar 22, 2011","2,120.649"
"Apr 7, 2011","1,729.439"
"Apr 23, 2011","1,610.375"
"May 9, 2011","1,501.629"
"May 25, 2011","1,502.722"
"Jun 10, 2011","1,482.933"
"Jun 26, 2011","1,462.767"
"Jul 12, 2011","1,778.523"
"Jul 28, 2011","2,079.349"
"Aug 13, 2011","2,580.284"
"Aug 29, 2011","3,102.085"
"Sep 14, 2011","3,219.796"
"Sep 30, 2011","3,119.42"
"Oct 16, 2011","2,817.515"
"Nov 1, 2011","2,497.509"
"Nov 17, 2011","2,327.744"
"Dec 3, 2011","2,273.17"
"Dec 19, 2011","2,115.457"
"Jan 1, 2012","2,271.023"
"Jan 17, 2012","2,407.675"
"Feb 2, 2012","2,404.613"
"Feb 18, 2012","2,315.623"
"Mar 5, 2012","2,229.894"
"Mar 21, 2012","1,891.016"
"Apr 6, 2012","1,702.603"
"Apr 22, 2012","1,652.754"
"May 8, 2012","1,525.911"
"May 24, 2012","1,483.462"
"Jun 9, 2012","1,519.239"
"Jun 25, 2012","1,575.635"
"Jul 11, 2012","1,604.418"
"Jul 27, 2012","1,784.28"
"Aug 12, 2012","2,095.216"
"Aug 28, 2012","2,547.352"
"Sep 13, 2012","3,031.976"
"Sep 29, 2012","3,044.16"
"Oct 15, 2012","2,680.104"
"Oct 31, 2012","2,476.263"
"Nov 16, 2012","2,232.453"
"Dec 2, 2012","2,214.741"
"Dec 18, 2012","2,277.578"
"Jan 1, 2013","2,289.254"
"Jan 17, 2013","2,438.881"
"Feb 2, 2013","2,569.221"
"Feb 18, 2013","2,559.277"
"Mar 6, 2013","2,268.319"
"Mar 22, 2013","2,016.422"
"Apr 7, 2013","1,701.675"
"Apr 23, 2013","1,654.645"
"May 9, 2013","1,583.281"
"May 25, 2013","1,570.746"
"Jun 10, 2013","1,754.826"
"Jun 26, 2013","1,636.92"
"Jul 12, 2013","1,946.744"
"Jul 28, 2013","2,305.879"
"Aug 13, 2013","2,721.303"
"Aug 29, 2013","2,864.008"
"Sep 14, 2013","2,808.264"
"Sep 30, 2013","2,838.928"
"Oct 16, 2013","2,725.214"
"Nov 1, 2013","2,413.791"
"Nov 17, 2013","2,124.672"
"Dec 3, 2013","2,207.201"
"Dec 19, 2013","2,299.134"
"Jan 1, 2014","2,269.297"
"Jan 17, 2014","2,408.537"
"Feb 2, 2014","2,610.248"
"Feb 18, 2014","2,522.682"
"Mar 6, 2014","2,344.477"
"Mar 22, 2014","2,150.163"
"Apr 7, 2014","1,761.276"
"Apr 23, 2014","1,608.839"
"May 9, 2014","1,544.353"
