system:time_start,NDVI
"Feb 18, 2000","2,031.345"
"Mar 5, 2000","1,947.21"
"Mar 21, 2000","1,669.796"
"Apr 6, 2000","1,504.158"
"Apr 22, 2000","1,340.778"
"May 8, 2000","1,330.33"
"May 24, 2000","1,260.562"
"Jun 9, 2000","1,234.856"
"Jun 25, 2000","1,290.643"
"Jul 11, 2000","1,439.298"
"Jul 27, 2000","1,676.149"
"Aug 12, 2000","2,188.674"
"Aug 28, 2000","2,159.995"
"Sep 13, 2000","2,322.353"
"Sep 29, 2000","2,263.796"
"Oct 15, 2000","2,210.326"
"Oct 31, 2000","2,009.392"
"Nov 16, 2000","1,721.37"
"Dec 2, 2000","1,718.169"
"Dec 18, 2000","1,747.381"
"Jan 1, 2001","1,832.367"
"Jan 17, 2001","1,853.674"
"Feb 2, 2001","1,891.56"
"Feb 18, 2001","1,916.504"
"Mar 6, 2001","1,841.968"
"Mar 22, 2001","1,634.252"
"Apr 7, 2001","1,402.4"
"Apr 23, 2001","1,327.207"
"May 9, 2001","1,225.603"
"May 25, 2001","1,223.305"
"Jun 10, 2001","1,272.954"
"Jun 26, 2001","1,578.282"
"Jul 12, 2001","1,600.468"
"Jul 28, 2001","2,037.302"
"Aug 13, 2001","2,507.885"
"Aug 29, 2001","2,458.273"
"Sep 14, 2001","2,478.405"
"Sep 30, 2001","2,466.805"
"Oct 16, 2001","2,325.92"
"Nov 1, 2001","2,002.814"
"Nov 17, 2001","1,914.969"
"Dec 3, 2001","1,928.633"
"Dec 19, 2001","1,928.956"
"Jan 1, 2002","2,080.209"
"Jan 17, 2002","2,061.692"
"Feb 2, 2002","1,994.864"
"Feb 18, 2002","2,149.628"
"Mar 6, 2002","2,039.246"
"Mar 22, 2002","1,766.567"
"Apr 7, 2002","1,450.574"
"Apr 23, 2002","1,354.207"
"May 9, 2002","1,288.066"
"May 25, 2002","1,263.204"
"Jun 10, 2002","1,319.223"
"Jun 26, 2002","1,329.528"
"Jul 12, 2002","1,478.085"
"Jul 28, 2002","1,633.2"
"Aug 13, 2002","1,855.056"
"Aug 29, 2002","2,111.85"
"Sep 14, 2002","2,148.266"
"Sep 30, 2002","2,202.728"
"Oct 16, 2002","2,031.432"
"Nov 1, 2002","1,921.793"
"Nov 17, 2002","1,862.532"
"Dec 3, 2002","1,718.26"
"Dec 19, 2002","1,853.29"
"Jan 1, 2003","1,895.963"
"Jan 17, 2003","2,002.773"
"Feb 2, 2003","2,095.913"
"Feb 18, 2003","2,042.747"
"Mar 6, 2003","1,957.069"
"Mar 22, 2003","1,617.089"
"Apr 7, 2003","1,500.369"
"Apr 23, 2003","1,370.217"
"May 9, 2003","1,279.537"
"May 25, 2003","1,278.703"
"Jun 10, 2003","1,314.166"
"Jun 26, 2003","1,529.885"
"Jul 12, 2003","1,926.658"
"Jul 28, 2003","2,543.3"
"Aug 13, 2003","2,667.64"
"Aug 29, 2003","3,114.561"
"Sep 14, 2003","3,048.518"
"Sep 30, 2003","2,744.331"
"Oct 16, 2003","2,541.065"
"Nov 1, 2003","2,338.494"
"Nov 17, 2003","2,164.807"
"Dec 3, 2003","2,071.089"
"Dec 19, 2003","2,109.338"
"Jan 1, 2004","2,135.036"
"Jan 17, 2004","2,400.45"
"Feb 2, 2004","2,445.096"
"Feb 18, 2004","2,397.956"
"Mar 5, 2004","2,260.339"
"Mar 21, 2004","1,884.389"
"Apr 6, 2004","1,625.382"
"Apr 22, 2004","1,499.262"
"May 8, 2004","1,429.2"
"May 24, 2004","1,376.396"
"Jun 9, 2004","1,437.75"
"Jun 25, 2004","1,480.181"
"Jul 11, 2004","1,609.311"
"Jul 27, 2004","1,727.492"
"Aug 12, 2004","2,122.307"
"Aug 28, 2004","2,301.465"
"Sep 13, 2004","2,378.747"
"Sep 29, 2004","2,599.902"
"Oct 15, 2004","2,325.126"
"Oct 31, 2004","2,191.785"
"Nov 16, 2004","2,056.846"
"Dec 2, 2004","1,969.104"
"Dec 18, 2004","2,148.199"
"Jan 1, 2005","2,161.141"
"Jan 17, 2005","2,231.939"
"Feb 2, 2005","2,357.107"
"Feb 18, 2005","2,233.256"
"Mar 6, 2005","2,211.501"
"Mar 22, 2005","1,982.778"
"Apr 7, 2005","1,504.255"
"Apr 23, 2005","1,449.875"
"May 9, 2005","1,375.978"
"May 25, 2005","1,376.775"
"Jun 10, 2005","1,417.093"
"Jun 26, 2005","1,456.098"
"Jul 12, 2005","1,585.839"
"Jul 28, 2005","1,955.236"
"Aug 13, 2005","2,118.935"
"Aug 29, 2005","2,342.272"
"Sep 14, 2005","2,592.792"
"Sep 30, 2005","2,630.567"
"Oct 16, 2005","2,357.615"
"Nov 1, 2005","2,080.736"
"Nov 17, 2005","1,908.345"
"Dec 3, 2005","1,797.427"
"Dec 19, 2005","1,932.488"
"Jan 1, 2006","1,965.917"
"Jan 17, 2006","2,122.549"
"Feb 2, 2006","2,249.336"
"Feb 18, 2006","2,278.786"
"Mar 6, 2006","2,145.47"
"Mar 22, 2006","1,774.017"
"Apr 7, 2006","1,473.256"
"Apr 23, 2006","1,388.618"
"May 9, 2006","1,284.878"
"May 25, 2006","1,273.993"
"Jun 10, 2006","1,309.8"
"Jun 26, 2006","1,435.014"
"Jul 12, 2006","1,624.55"
"Jul 28, 2006","2,048.388"
"Aug 13, 2006","2,509.905"
"Aug 29, 2006","2,858.555"
"Sep 14, 2006","3,218.042"
"Sep 30, 2006","2,908.943"
"Oct 16, 2006","2,576.28"
"Nov 1, 2006","2,405.035"
"Nov 17, 2006","2,208.633"
"Dec 3, 2006","2,303.717"
"Dec 19, 2006","2,366.652"
"Jan 1, 2007","2,387.949"
"Jan 17, 2007","2,432.051"
"Feb 2, 2007","2,648.81"
"Feb 18, 2007","2,525.573"
"Mar 6, 2007","2,362.205"
"Mar 22, 2007","2,062.623"
"Apr 7, 2007","1,809.815"
"Apr 23, 2007","1,640.438"
"May 9, 2007","1,533.181"
"May 25, 2007","1,549.704"
"Jun 10, 2007","1,590.7"
"Jun 26, 2007","1,883.805"
"Jul 12, 2007","2,140.591"
"Jul 28, 2007","2,414.373"
"Aug 13, 2007","2,859.647"
"Aug 29, 2007","3,049.625"
"Sep 14, 2007","2,956.676"
"Sep 30, 2007","2,635.889"
"Oct 16, 2007","2,469.236"
"Nov 1, 2007","2,234.481"
"Nov 17, 2007","2,106.984"
"Dec 3, 2007","2,098.574"
"Dec 19, 2007","2,185.684"
"Jan 1, 2008","2,234.011"
"Jan 17, 2008","2,411.93"
"Feb 2, 2008","2,314.827"
"Feb 18, 2008","2,293.096"
"Mar 5, 2008","2,258.973"
"Mar 21, 2008","1,875.331"
"Apr 6, 2008","1,656.422"
"Apr 22, 2008","1,499.194"
"May 8, 2008","1,373.886"
"May 24, 2008","1,367.084"
"Jun 9, 2008","1,333.942"
"Jun 25, 2008","1,355.744"
"Jul 11, 2008","1,420.776"
"Jul 27, 2008","1,937.657"
"Aug 12, 2008","2,637.924"
"Aug 28, 2008","2,769.06"
"Sep 13, 2008","2,778.95"
"Sep 29, 2008","2,707.742"
"Oct 15, 2008","2,346.227"
"Oct 31, 2008","2,181.896"
"Nov 16, 2008","1,919.312"
"Dec 2, 2008","1,999.564"
"Dec 18, 2008","2,159.146"
"Jan 1, 2009","2,289.202"
"Jan 17, 2009","2,387.294"
"Feb 2, 2009","2,435.816"
"Feb 18, 2009","2,366.999"
"Mar 6, 2009","2,115.808"
"Mar 22, 2009","1,886.832"
"Apr 7, 2009","1,616.132"
"Apr 23, 2009","1,456.707"
"May 9, 2009","1,409.798"
"May 25, 2009","1,393.423"
"Jun 10, 2009","1,458.375"
"Jun 26, 2009","1,615.733"
"Jul 12, 2009","1,775.745"
"Jul 28, 2009","2,204.367"
"Aug 13, 2009","2,511.551"
"Aug 29, 2009","3,053.855"
"Sep 14, 2009","3,014.583"
"Sep 30, 2009","2,752.637"
"Oct 16, 2009","2,460.405"
"Nov 1, 2009","2,103.351"
"Nov 17, 2009","1,925.306"
"Dec 3, 2009","1,931.608"
"Dec 19, 2009","2,126.414"
"Jan 1, 2010","2,336.645"
"Jan 17, 2010","2,424.224"
"Feb 2, 2010","2,441.126"
"Feb 18, 2010","2,371.405"
"Mar 6, 2010","2,034.941"
"Mar 22, 2010","1,647.861"
"Apr 7, 2010","1,453.084"
"Apr 23, 2010","1,382.966"
"May 9, 2010","1,349.785"
"May 25, 2010","1,346.63"
"Jun 10, 2010","1,525.67"
"Jun 26, 2010","1,677.251"
"Jul 12, 2010","1,787.107"
"Jul 28, 2010","2,563.113"
"Aug 13, 2010","2,933.258"
"Aug 29, 2010","2,986.401"
"Sep 14, 2010","3,097.247"
"Sep 30, 2010","2,881.482"
"Oct 16, 2010","2,519.105"
"Nov 1, 2010","2,358.593"
"Nov 17, 2010","2,183.074"
"Dec 3, 2010","2,118.712"
"Dec 19, 2010","2,207.447"
