Month,Year,Temp,Ice,veg,Flood,Rain(mm)
3,2000,18.87858064516129,0.08722580645161289,1976.2355,False,52.77799999999999
4,2000,29.87364285714286,-0.013966666666666665,2041.7275,False,26.189999999999998
5,2000,33.941709677419354,-0.09209677419354839,2053.4755,False,28.605
6,2000,32.489466666666665,-0.12396666666666666,2312.7569999999996,False,37.777
7,2000,29.90416129032258,-0.0882258064516129,2815.6,False,71.727
8,2000,30.00547368421053,-0.1571578947368421,2973.1365,False,55.28999999999999
9,2000,28.799666666666667,-0.16343333333333335,2649.687,False,67.432
10,2000,27.466677419354838,-0.17251612903225805,2233.5665,False,13.816999999999998
11,2000,19.21333333333333,-0.08573333333333334,1974.229,False,7.262
12,2000,8.737903225806452,-0.0065161290322580615,1812.1435000000001,False,24.158000000000005
1,2001,10.138709677419355,-0.04383870967741935,1825.0985,False,12.885000000000003
2,2001,15.559535714285715,-0.030071428571428572,1809.8380000000002,False,14.164000000000001
3,2001,22.134225806451614,0.003935483870967737,1852.5745,False,48.18499999999999
4,2001,27.727899999999998,-0.017900000000000006,1942.6465,False,60.092
5,2001,33.85622580645161,-0.16329032258064516,2020.2795,False,20.654999999999998
6,2001,31.954600000000003,-0.16706666666666667,2243.623,False,59.820999999999984
7,2001,27.978448275862068,-0.12989655172413792,2935.648,True,101.63800000000003
8,2001,28.72122580645161,-0.17954838709677418,2985.3635,False,67.658
9,2001,28.230700000000002,-0.21336666666666665,2489.3465,False,45.445000000000014
10,2001,26.05551612903226,-0.22470967741935485,2138.327,False,10.773
11,2001,19.221666666666668,-0.09686666666666667,1873.4615,False,12.358999999999998
12,2001,10.998193548387098,-0.03874193548387097,1811.3184999999999,False,11.734
1,2002,9.01358064516129,-0.011129032258064513,1743.955,False,15.837000000000003
2,2002,10.911964285714287,0.12267857142857143,1822.4699999999998,False,51.147
3,2002,17.97417391304348,0.05234782608695652,2057.2529999999997,False,47.134
4,2002,26.90279310344828,-0.0033793103448275844,2079.2695000000003,False,59.315999999999995
5,2002,33.948258064516125,-0.0975483870967742,2052.246,False,18.045
6,2002,33.20903333333333,-0.17443333333333333,2274.287,False,60.568999999999996
7,2002,31.374193548387098,-0.20496774193548387,2579.2889999999998,False,31.681
8,2002,27.7151935483871,-0.11419354838709678,2966.2844999999998,False,92.53800000000003
9,2002,27.453633333333336,-0.19726666666666667,2827.2785,False,54.38
10,2002,24.65367741935484,-0.24248387096774196,2387.231,False,14.79
11,2002,17.189833333333333,-0.08916666666666666,2152.2664999999997,False,16.608999999999998
12,2002,10.432322580645161,0.022129032258064514,1771.2330000000002,False,29.097
1,2003,7.9274516129032255,0.02861290322580645,1813.0659999999998,False,29.086
2,2003,10.222535714285714,0.10682142857142858,1800.6655,False,84.02300000000001
3,2003,15.957032258064517,0.08800000000000001,2018.0675,False,77.553
4,2003,26.218200000000003,0.0213,2217.3235,False,73.94600000000001
5,2003,31.622645161290322,-0.04838709677419355,2169.2435,False,36.132000000000005
6,2003,32.8281,-0.14086666666666667,2335.8990000000003,False,34.98800000000001
7,2003,28.311870967741935,-0.12554838709677418,2988.962,False,78.39999999999999
8,2003,27.56261290322581,-0.16706451612903225,3290.8845,False,81.87399999999998
9,2003,27.376700000000003,-0.1408333333333333,2807.4570000000003,False,56.964
10,2003,24.755064516129032,-0.20693548387096775,2421.455,False,12.223
11,2003,16.5598,-0.0562,2131.7645,False,18.68
12,2003,11.584583333333335,-0.02025,1843.621,False,18.25
1,2004,4.083645161290323,0.13138709677419355,1910.607,False,73.24000000000001
2,2004,12.067344827586206,0.023896551724137932,2098.192,False,45.049
3,2004,23.482096774193547,-0.05141935483870968,2315.5789999999997,False,17.503000000000004
4,2004,28.113400000000002,0.003966666666666668,2140.482,False,70.75
5,2004,32.21509677419355,-0.11974193548387098,2162.4184999999998,False,19.401000000000003
6,2004,31.858666666666668,-0.17156666666666667,2436.6670000000004,False,28.311999999999994
7,2004,30.37125806451613,-0.18193548387096772,2875.4295,False,61.38100000000001
8,2004,28.070322580645165,-0.17516129032258063,3027.3485,False,82.183
9,2004,29.193133333333332,-0.2253,2624.1765,False,47.230999999999995
10,2004,20.917290322580648,-0.05696774193548387,2160.049,False,51.274
11,2004,16.314233333333334,-0.08743333333333332,2085.951,False,14.909
12,2004,9.895193548387097,0.040193548387096774,1903.1100000000001,False,43.707
1,2005,3.0040645161290325,0.1415483870967742,1884.6635,False,58.914
2,2005,6.206214285714286,0.21660714285714286,1803.7455,False,96.94600000000001
3,2005,15.558354838709679,0.1367741935483871,2330.1099999999997,False,84.966
4,2005,25.6691,0.017066666666666667,2326.7664999999997,False,57.24699999999999
5,2005,28.883451612903222,-0.005032258064516131,2340.194,False,56.817999999999984
6,2005,33.59673333333333,-0.1404,2484.893,True,31.736999999999995
7,2005,28.5121935483871,-0.11664516129032258,3110.7965000000004,False,82.894
8,2005,28.490548387096773,-0.2043548387096774,3345.8415,False,74.65500000000002
9,2005,28.7184,-0.23196666666666665,3016.7520000000004,False,51.894000000000005
10,2005,25.37406451612903,-0.19012903225806452,2440.023,False,19.113999999999997
11,2005,16.579933333333333,-0.08946666666666667,2123.006,False,18.98
12,2005,10.848258064516129,-0.08548387096774193,1885.722,False,15.307
1,2006,7.222645161290323,0.0985483870967742,1668.591,False,68.951
2,2006,14.761892857142858,0.06978571428571428,2130.9295,False,36.608999999999995
3,2006,17.03651612903226,0.09748387096774193,2350.536,False,53.41000000000001
4,2006,26.0024,-0.02356666666666667,2211.8810000000003,False,50.044000000000004
5,2006,33.29403225806452,-0.13580645161290322,2147.6265000000003,False,18.214
6,2006,32.95146666666667,-0.16756666666666667,2381.3010000000004,False,29.573999999999995
7,2006,29.556129032258063,-0.13896774193548386,2896.236,False,79.14899999999999
8,2006,25.80467741935484,-0.08670967741935484,3354.9345,False,106.50999999999999
9,2006,28.307166666666667,-0.2303666666666667,2944.102,False,41.059
10,2006,24.21567741935484,-0.21158064516129033,2627.693,False,22.555
11,2006,12.951233333333333,-0.024466666666666668,2364.0825,False,33.35399999999999
12,2006,6.368,0.084,1955.7044999999998,False,57.796
1,2007,6.266612903225806,-0.013129032258064515,2081.2219999999998,False,10.938
2,2007,6.710928571428572,0.1657857142857143,2351.008,False,143.01599999999996
3,2007,16.88141935483871,0.10229032258064516,2411.2535,False,121.286
4,2007,27.3569,-0.06493333333333333,2509.864,False,43.007000000000005
5,2007,33.58483870967742,-0.12370967741935483,2479.022,False,38.169999999999995
6,2007,32.9328,-0.11113333333333333,2880.032,False,69.58
7,2007,29.29032258064516,-0.1664516129032258,3467.1715000000004,False,82.58399999999997
8,2007,28.18283870967742,-0.19506451612903225,3359.3810000000003,False,65.18299999999999
9,2007,27.344966666666668,-0.1932,2923.5855,False,44.687
10,2007,25.87158064516129,-0.25364516129032255,2508.256,False,5.780000000000001
11,2007,17.802133333333334,-0.21043333333333333,2322.5730000000003,False,10.545000000000002
12,2007,9.111096774193548,-0.018903225806451616,2039.3145,False,18.191
1,2008,5.8948064516129035,0.07738709677419355,1791.116,False,80.02699999999997
2,2008,9.358068965517242,0.07279310344827586,1752.7820000000002,False,27.154000000000007
3,2008,22.44232258064516,-0.016,2161.5005,False,30.540000000000006
4,2008,23.743333333333332,0.04326666666666667,2331.6655,False,99.85300000000001
5,2008,32.19845161290323,-0.10493548387096775,2369.174,False,34.47099999999999
6,2008,29.729166666666668,-0.13943333333333333,2752.056,False,61.577
7,2008,29.125354838709676,-0.15896774193548388,3256.3205,True,94.11099999999999
8,2008,26.695548387096775,-0.1335483870967742,3487.446,False,104.43699999999998
9,2008,27.56676666666667,-0.20893333333333333,2917.8064999999997,False,61.216
10,2008,25.75367741935484,-0.22783870967741934,2463.397,False,20.969999999999995
11,2008,19.0048,-0.10626666666666668,2029.538,False,18.616999999999997
12,2008,11.428448275862069,-0.000448275862068965,1970.716,False,44.18199999999999
1,2009,7.256677419354839,0.08974193548387097,2045.725,False,76.57
2,2009,12.485607142857143,0.09724999999999999,2066.944,False,80.12700000000001
3,2009,17.382935483870966,0.10896774193548388,2273.949,False,73.885
4,2009,24.634766666666668,0.0442,2390.4425,False,132.068
5,2009,31.821709677419353,-0.06490322580645161,2268.1115,False,34.94099999999999
6,2009,35.18536666666667,-0.10406666666666667,2374.682,False,34.959
7,2009,30.61735483870968,-0.14625806451612902,2779.602,True,55.068
8,2009,29.39848387096774,-0.17635483870967741,3274.611,False,77.548
9,2009,29.531000000000002,-0.2513666666666667,2987.333,False,50.01
10,2009,25.734,-0.21158064516129033,2404.206,False,11.312000000000001
11,2009,16.8589,-0.06336666666666665,2036.5315,False,15.594000000000003
12,2009,10.151064516129033,0.03635483870967742,1816.1455,False,18.893999999999995
1,2010,10.030516129032259,0.00974193548387097,1852.6095,False,36.946000000000005
2,2010,10.159285714285714,0.14692857142857144,1773.091,False,110.87400000000002
3,2010,21.944903225806453,0.01167741935483871,2214.1005,False,44.53500000000001
4,2010,29.788166666666665,-0.014566666666666669,2251.2615,False,54.05299999999998
5,2010,33.022129032258064,-0.07074193548387096,2229.0275,False,56.205000000000005
6,2010,33.58036666666666,-0.10386666666666668,2458.5625,False,58.90799999999999
7,2010,28.716129032258067,-0.08725806451612904,2908.5085,True,167.37800000000004
8,2010,22.842387096774196,-0.019,3739.9035000000003,True,166.16099999999994
9,2010,25.727899999999998,-0.16146666666666668,3280.4435,False,38.333999999999996
10,2010,24.278322580645163,-0.22980645161290325,2803.782,False,9.503
11,2010,19.080333333333332,-0.2572333333333333,2595.005,False,4.300999999999999
12,2010,10.843645161290324,-0.20609677419354838,2309.696,False,9.713
1,2011,6.620225806451613,-0.02803225806451613,2069.0215,False,18.449
2,2011,8.836357142857143,0.19817857142857145,2018.951,False,114.703
3,2011,19.79416129032258,0.02361290322580645,2176.0415000000003,False,50.20399999999999
4,2011,24.497200000000003,0.020866666666666665,2498.6485000000002,False,69.98200000000003
5,2011,33.5811935483871,-0.1336774193548387,2507.589,False,26.662999999999997
6,2011,32.2864,-0.19193333333333334,2708.3095000000003,False,31.461000000000002
7,2011,27.975258064516126,-0.1344516129032258,3208.86,False,71.25199999999998
8,2011,26.861451612903227,-0.11619354838709677,3544.408,True,111.596
9,2011,25.361366666666665,-0.15946666666666667,3286.947,False,57.054
10,2011,24.933677419354837,-0.17738709677419356,2750.764,False,31.574
11,2011,18.037466666666667,-0.07373333333333335,2532.1845000000003,False,16.903000000000002
12,2011,10.581677419354838,-0.10354838709677419,2227.9210000000003,False,5.952999999999998
1,2012,4.099193548387097,0.04832258064516129,1961.6570000000002,False,34.276
2,2012,8.876931034482759,0.1258965517241379,1844.2825,False,52.255
3,2012,19.814290322580646,0.07345161290322581,2046.9735,False,45.748999999999995
4,2012,25.0869,0.015200000000000002,2403.34,False,86.96799999999998
5,2012,31.30035483870968,-0.0794516129032258,2417.5715,False,38.538000000000004
6,2012,34.75916666666667,-0.14393333333333333,2476.8505,False,19.311999999999998
7,2012,32.09683870967742,-0.19525806451612904,2937.6375,False,54.693
8,2012,28.31403225806452,-0.14116129032258065,3315.848,False,83.425
9,2012,24.850466666666666,-0.10653333333333333,3318.84,True,80.54100000000001
10,2012,23.828548387096774,-0.168,2603.1825,False,22.990999999999996
11,2012,16.221966666666667,-0.11410000000000001,2254.394,False,11.042999999999997
12,2012,9.580967741935483,0.022677419354838708,2048.001,False,36.832
1,2013,6.008064516129032,0.0078064516129032245,1999.1815000000001,False,17.476000000000003
2,2013,8.384678571428571,0.18250000000000002,2062.255,False,109.346
3,2013,16.430709677419355,0.08587096774193548,2537.4804999999997,False,101.319
4,2013,24.039666666666665,-0.009600000000000001,2627.583,False,68.137
5,2013,32.604516129032255,-0.08499999999999999,2552.2780000000002,False,24.522999999999996
6,2013,32.28766666666667,-0.152,2891.7185,False,51.642999999999994
7,2013,29.144483870967743,-0.13390322580645161,3261.3990000000003,True,66.596
8,2013,27.619,-0.10629032258064516,3798.4545,False,123.44099999999996
9,2013,28.226666666666667,-0.2346,3226.986,False,47.74099999999999
10,2013,25.436870967741935,-0.21806451612903224,2906.685,False,17.583
11,2013,13.508266666666666,-0.061233333333333334,2461.0125,False,29.889999999999997
12,2013,11.815451612903226,-0.08335483870967743,2294.828,False,13.595000000000002
1,2014,8.331870967741937,-0.011774193548387098,2202.1710000000003,False,21.833999999999996
2,2014,10.628785714285714,0.09467857142857143,2119.7425000000003,False,50.209
3,2014,17.057161290322583,0.10764516129032259,2424.7655,False,108.00600000000001
4,2014,23.2655,0.015799999999999998,2574.1925,False,64.754
5,2014,30.747258064516128,-0.06232258064516129,2702.286,False,50.709
6,2014,33.9091,-0.1814,2658.4745000000003,False,24.512
7,2014,29.694548387096773,-0.1545483870967742,3139.7205000000004,False,52.053
8,2014,29.630129032258065,-0.18712903225806451,3394.3605,False,80.48
9,2014,28.1638,-0.24933333333333335,3105.409,False,47.69800000000001
10,2014,23.570290322580643,-0.12829032258064516,2743.867,False,29.860000000000003
11,2014,16.8599,-0.09856666666666666,2437.491,False,12.373999999999999
12,2014,10.665903225806453,-0.10612903225806451,2205.9184999999998,False,6.684
1,2015,9.966516129032257,-0.04080645161290322,2067.982,False,33.82699999999999
2,2015,7.249928571428571,0.10682142857142858,2154.7065000000002,False,84.42899999999999
3,2015,16.428645161290323,0.14951612903225805,2433.8940000000002,False,104.692
4,2015,24.530166666666666,-0.0166,2655.4285,False,76.5
5,2015,31.296645161290325,-0.08770967741935483,2712.2545,False,45.68
6,2015,31.89206666666667,-0.14396666666666666,2815.0695,False,26.122000000000003
7,2015,28.73567741935484,-0.06893548387096775,3513.258,True,110.77499999999999
8,2015,27.088709677419356,-0.15654838709677418,3833.2515000000003,False,132.289
9,2015,28.590500000000002,-0.24180000000000001,3190.4809999999998,False,43.657
10,2015,23.940645161290323,-0.1771290322580645,2838.255,False,52.267
11,2015,17.515866666666668,-0.01806666666666667,2562.668,False,29.992
12,2015,8.811,-0.042451612903225806,2380.5185,False,11.943
1,2016,6.844322580645161,0.0037096774193548384,2422.478,False,40.73799999999999
2,2016,11.9785,-0.03136842105263157,2465.627,False,18.857000000000003
3,2016,13.885129032258066,0.13983870967741935,2544.8445,True,114.856
4,2016,25.53173333333333,0.002366666666666665,2683.9945,True,87.07900000000001
5,2016,31.979451612903226,-0.11964516129032259,2644.5895,False,51.022000000000006
6,2016,32.57846666666667,-0.20536666666666664,2834.339,False,60.07199999999999
7,2016,29.461419354838707,-0.17403225806451614,3419.0035,False,111.34500000000001
8,2016,28.549709677419358,-0.19012903225806452,3544.0665,False,79.919
9,2016,28.7298,-0.2571,3063.8925,False,37.273999999999994
10,2016,25.959096774193547,-0.27661290322580645,2570.6684999999998,False,14.995
11,2016,19.581033333333334,-0.17523333333333332,2330.951,False,14.527
12,2016,14.43483870967742,-0.13645161290322583,2114.292,False,14.161
1,2017,6.335677419354839,0.12838709677419355,2030.3125,False,86.555
2,2017,13.199785714285714,0.07735714285714286,2176.62,False,88.965
3,2017,18.01712903225806,0.02935483870967742,2427.9545,False,44.624
4,2017,28.7101,-0.0658,2477.8940000000002,False,51.644999999999996
5,2017,32.174032258064514,-0.12003225806451613,2499.6755000000003,False,58.778
6,2017,32.30986666666667,-0.17603333333333332,2834.178,False,41.633
7,2017,29.136741935483872,-0.15206451612903227,3343.382,False,113.531
8,2017,28.279516129032256,-0.19948387096774195,3468.6865,False,96.01000000000006
9,2017,28.892766666666667,-0.26713333333333333,2977.016,False,46.258
10,2017,26.672677419354837,-0.2670967741935484,2502.499,False,7.778999999999999
11,2017,15.726766666666666,-0.15289999999999998,2242.7655,False,21.395999999999997
12,2017,10.951580645161291,-0.07406451612903227,2136.906,False,32.74700000000001
1,2018,9.210354838709678,-0.08022580645161291,2128.944,False,7.270999999999999
2,2018,11.912892857142856,0.03785714285714285,2184.858,False,66.39499999999998
3,2018,18.720129032258065,0.021516129032258063,2499.5195,False,70.321
4,2018,25.7054,-0.032433333333333335,2463.739,False,86.637
5,2018,31.366612903225807,-0.08793548387096774,2518.068,False,74.93900000000001
6,2018,32.4227,-0.16613333333333333,2745.1395,False,41.88499999999999
7,2018,29.012193548387096,-0.12032258064516128,3139.8295,False,115.963
8,2018,28.197709677419354,-0.18603225806451615,3392.5405,False,72.03800000000001
9,2018,28.356366666666666,-0.24659999999999999,2967.141,False,52.127
10,2018,22.883161290322583,-0.13370967741935483,2515.496,False,39.627
11,2018,15.892933333333334,-0.06176666666666667,2301.33,False,26.429000000000002
12,2018,8.793290322580644,-0.09483870967741935,2210.8729999999996,False,19.831
1,2019,4.7617419354838715,0.11596774193548388,1901.058,False,64.815
